CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Bartlesville, OK",12780,2024,243,132,105,5,1,0,0,156,72,49,0,0,145,98,0,"Bartlesville, OK Micro Area",61205,0.4709,52895,12780,12780,0.14256545987333397,0.017468569808110408,0.9897343794309481,0.18791946308724833,0.3893751772379242
"Baton Rouge, LA",12940,2024,305,109,182,12,2,0,0,159,87,54,0,0,114,191,0,"Baton Rouge, LA Metro Area",68910,0.477,871379,12940,12940,0.15521374740497534,0.03226609775998733,0.9810817107137079,0.1686682832613593,0.37428604545209376
"Bay City, MI",13020,2024,271,203,68,0,0,0,0,73,56,39,0,0,0,271,0,"Bay City, MI Metro Area",60523,0.4352,103235,13020,13020,0.13908073812176103,0.02231801230202935,0.9926575289388289,0.2193732745677338,0.4350946868794498
"Beatrice, NE",13100,2024,249,176,73,0,0,0,0,70,57,37,0,0,0,249,0,"Beatrice, NE Micro Area",64426,0.4306,21646,13100,13100,0.129631340663402,0.007484061720410238,0.9878961470941513,0.21999445625057748,0.4232652684098679
"Beaumont-Port Arthur, TX",13140,2024,182,77,101,4,0,0,0,143,67,52,0,0,54,128,0,"Beaumont-Port Arthur, TX Metro Area",65245,0.4626,396058,13140,13140,0.15749208449267532,0.025203379303031376,0.962745355478238,0.19206025380121095,0.37177130622282595
"Beaver Dam, WI",13180,2024,183,153,30,0,0,0,0,84,53,39,1,0,145,37,0,"Beaver Dam, WI Micro Area",73992,0.3847,88818,13180,13180,0.07454570019590624,0.021178139566304127,0.9543786169470152,0.2594519129005382,0.4022045080952059
"Bellingham, WA",13380,2024,208,204,4,0,0,0,0,61,44,32,0,0,69,139,0,"Bellingham, WA Metro Area",80989,0.4524,228432,13380,13380,0.12416824262800308,0.026484905792533445,0.9929256846676473,0.1239756251313301,0.40454489738740634
"Bemidji, MN",13420,2024,182,172,9,0,1,0,0,177,46,36,0,0,114,68,0,"Bemidji, MN Micro Area",67257,0.4409,46421,13420,13420,0.1526033476228431,0.02533336205596605,0.9860623424743112,0.13457271493505094,0.3857736800155102
"Bend-Redmond, OR",13460,2024,267,201,53,7,6,0,0,176,75,36,0,0,51,216,0,"Bend, OR Metro Area",85509,0.4573,253650,13460,13460,0.09493002168342204,0.025550956041789866,0.9928405282870096,0.129812734082397,0.4041119653065247
"Bennington, VT",13540,2024,182,169,13,0,0,0,0,80,48,38,0,0,156,26,0,"Bennington, VT Micro Area",71494,0.4968,37312,13540,13540,0.11063464837049743,0.020851200686106346,0.9835441680960549,0.17203580617495712,0.3922598627787307
"Billings, MT",13740,2024,175,158,17,0,0,0,0,64,50,38,0,4,125,46,0,"Billings, MT Metro Area",74599,0.4588,187269,13740,13740,0.09817962396338956,0.018363957729255777,0.9874939258499805,0.17086650753728594,0.4157495367626249
"Birmingham-Hoover, AL",13820,2024,175,157,18,0,0,0,0,97,51,39,0,0,153,22,0,"Birmingham, AL Metro Area",69627,0.4868,1181432,13820,13820,0.13725885196947432,0.02189546245573169,0.987638729948063,0.15921187169468914,0.38999028297862254
"Bishop, CA",13860,2024,272,93,162,10,2,1,4,1322,88,59,0,0,159,57,56,"Bishop, CA Micro Area",72432,0.439,18803,13860,13860,0.10253682922937829,0.012763920650959952,0.9808009360208477,0.1630590863160134,0.42136893048981544
"Bismarck, ND",13900,2024,275,189,75,9,2,0,0,174,68,43,1,1,156,113,4,"Bismarck, ND Metro Area",83982,0.4415,134286,13900,13900,0.07583813651460317,0.013821247188835768,0.9784862159867745,0.1364699224044204,0.40672147506069134
"Blacksburg-Christiansburg-Radford, VA",13980,2024,233,210,23,0,0,0,0,80,50,41,0,0,233,0,0,"Blacksburg-Christiansburg-Radford, VA Metro Area",64627,0.4841,181605,13980,13980,0.1820599653093252,0.018077696098675697,0.9878692767269623,0.15473692904931033,0.3856446683736681
"Bloomington, IL",14010,2024,274,186,87,1,0,0,0,112,61,44,0,0,160,114,0,"Bloomington, IL Metro Area",78329,0.4769,170882,14010,14010,0.12295619199213492,0.015747708945354103,0.9939607448414696,0.12128252244238714,0.4042087522383867
"Bloomington, IN",14020,2024,274,191,83,0,0,0,0,97,58,43,0,0,149,125,0,"Bloomington, IN Metro Area",62949,0.4827,161256,14020,14020,0.17214863322915117,0.028371037356749517,0.9919072778687305,0.12001413900878106,0.41463263382447785
"Boise City, ID",14260,2024,183,115,63,3,2,0,0,157,64,47,1,3,101,76,2,"Boise City, ID Metro Area",82694,0.4419,790640,14260,14260,0.08933395730041485,0.016238743296569866,0.9854333198421532,0.12614590711322474,0.37278913285439647
"Boston-Cambridge-Newton, MA-NH",14460,2024,255,182,72,1,0,0,0,122,65,44,1,2,158,92,2,"Boston-Cambridge-Newton, MA-NH Metro Area",112484,0.4836,4917661,14460,14460,0.08624608324974006,0.027589742359223218,0.9913330748093453,0.12976901010460054,0.39154264598556104
"Boulder, CO",14500,2024,274,165,99,9,1,0,0,154,80,48,0,0,169,95,10,"Boulder, CO Metro Area",102772,0.4898,328317,14500,14500,0.11009177106272292,0.026172875604979336,0.9932504256556925,0.06102943192097881,0.411888510189847
"Bowling Green, KY",14540,2024,243,198,45,0,0,0,0,87,55,42,0,0,175,68,0,"Bowling Green, KY Metro Area",62437,0.4726,183194,14540,14540,0.16091138356059695,0.02507724052097776,0.990965861327336,0.16276733954168804,0.39071148618404533
"Bozeman, MT",14580,2024,245,212,33,0,0,0,0,84,55,22,10,8,0,227,0,"Bozeman, MT Metro Area",87454,0.4724,122194,14580,14580,0.0984090871892237,0.013822282599800317,0.9959899831415617,0.10201810236181809,0.4094390886622911
"Brainerd, MN",14660,2024,182,158,23,0,1,0,0,164,54,38,0,0,115,67,0,"Brainerd, MN Micro Area",69311,0.4322,97801,14660,14660,0.10481487919346429,0.025919980368298894,0.9890594165703828,0.18621486487868222,0.424801382398953
"Branson, MO",14700,2024,20,17,3,0,0,0,0,67,53,20,0,0,0,20,0,"Branson, MO Micro Area",58258,0.465,56382,14700,14700,0.13958355503529496,0.021780000709446277,0.9923202440495194,0.18567982689510837,0.39276719520414316
"Bremerton-Silverdale, WA",14740,2024,200,196,4,0,0,0,0,69,36,18,0,0,0,200,0,"Bremerton-Silverdale-Port Orchard, WA Metro Area",98546,0.4306,276581,14740,14740,0.08062375940502059,0.022145411290001842,0.945607254294402,0.1254352251239239,0.3878212892425727
