CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Houston-The Woodlands-Sugar Land, TX",26420,2024,183,24,139,14,5,1,0,201,101,61,1,3,54,115,10,"Houston-Pasadena-The Woodlands, TX Metro Area",80458,0.4829,7274714,26420,26420,0.13423180622633413,0.030402569778000894,0.9918908152265505,0.12149329856816364,0.357661895711639
"Huntington-Ashland, WV-KY-OH",26580,2024,274,181,93,0,0,0,0,84,61,44,0,1,145,127,1,"Huntington-Ashland, WV-KY-OH Metro Area",58483,0.4724,372801,26580,26580,0.16535095131182587,0.021260672584032768,0.9843267587801535,0.2149725993224267,0.4026035337888042
"Huntsville, AL",26620,2024,181,124,57,0,0,0,0,89,58,44,0,0,76,105,0,"Huntsville, AL Metro Area",83529,0.4586,504712,26620,26620,0.10097243576534737,0.01928426508583113,0.9843197704829685,0.11572936645056983,0.40119909968457257
"Idaho Falls, ID",26820,2024,238,186,52,0,0,0,0,97,64,44,0,0,229,9,0,"Idaho Falls, ID Metro Area",77300,0.4203,161944,26820,26820,0.09540334930593292,0.016962653756854223,0.9899780170923282,0.12193721286370597,0.33526404189102404
"Indiana, PA",26860,2024,178,153,25,0,0,0,0,87,56,38,0,0,113,65,0,"Indiana, PA Micro Area",58739,0.4476,83213,26860,26860,0.11999327028228762,0.03128117000949371,0.982743081008977,0.2361650222921899,0.38805234758991985
"Indianapolis-Carmel-Anderson, IN",26900,2024,305,126,176,3,0,0,0,116,75,53,0,0,129,176,0,"Indianapolis-Carmel-Greenwood, IN Metro Area",77065,0.4642,2106327,26900,26900,0.10333343303295263,0.021618200782689487,0.987768280993407,0.15035129872996927,0.39359510655278124
"Iowa City, IA",26980,2024,305,217,88,0,0,0,0,83,57,38,0,0,0,305,0,"Iowa City, IA Metro Area",74142,0.4941,177420,26980,26980,0.14927291173486643,0.02007101792357119,0.9878480441889302,0.09748055461616503,0.4016570848833277
"Ithaca, NY",27060,2024,240,232,8,0,0,0,0,71,47,36,0,0,240,0,0,"Ithaca, NY Metro Area",73012,0.4928,102879,27060,27060,0.13167896266487816,0.027002595281835944,0.9931570096909962,0.07619630828448955,0.42058145977313155
"Jackson, MS",27140,2024,275,159,116,0,0,0,0,96,64,48,1,0,109,165,0,"Jackson, MS Metro Area",60489,0.4901,615908,27140,27140,0.1672749826272755,0.027879163771212585,0.9762496996304643,0.13052761126661774,0.38395831845015815
"Jackson, TN",27180,2024,178,146,32,0,0,0,0,66,53,31,0,0,0,178,0,"Jackson, TN Metro Area",58740,0.4547,180844,27180,27180,0.15945787529583508,0.029677512109884764,0.9847105792838026,0.21254783127999824,0.3951416690628387
"Jackson, WY-ID",27220,2024,244,158,85,1,0,0,0,105,67,47,0,0,208,33,3,"Jackson, WY-ID Micro Area",106679,0.503,35459,27220,27220,0.07809018866860318,0.013508559181025974,0.997320849431738,0.10970416537409403,0.393581319270143
"Jacksonville, FL",27260,2024,274,135,139,0,0,0,0,97,64,51,0,1,79,193,1,"Jacksonville, FL Metro Area",77013,0.4648,1645707,27260,27260,0.11866085518260541,0.021242541959170132,0.9786687423703004,0.1523746329085311,0.39062056611535345
"Jamestown-Dunkirk-Fredonia, NY",27460,2024,273,241,31,1,0,0,0,105,54,38,0,0,266,7,0,"Jamestown-Dunkirk, NY Micro Area",56507,0.4457,126329,27460,27460,0.1638816107148794,0.024974471419864006,0.9866064007472551,0.189663497692533,0.42430479145722677
"Janesville-Beloit, WI",27500,2024,98,80,18,0,0,0,0,77,58,43,0,0,98,0,0,"Janesville-Beloit, WI Metro Area",74390,0.404,163944,27500,27500,0.0979480798321378,0.020628995266676425,0.993583174742595,0.2008185721953838,0.40655345727809494
"Jasper, IN",27540,2024,274,186,88,0,0,0,0,70,59,41,0,0,0,273,1,"Jasper, IN Micro Area",71918,0.4122,43563,27540,27540,0.09308358010238046,0.011018524894979684,0.9840231389022794,0.22757844960172624,0.4037371163602139
"Jefferson City, MO",27620,2024,128,121,7,0,0,0,0,64,50,41,0,0,128,0,0,"Jefferson City, MO Metro Area",72425,0.4283,150147,27620,27620,0.09479376877326887,0.017489526930274998,0.9513210387153922,0.1871099655670776,0.3855954497925366
"Johnstown, PA",27780,2024,244,205,39,0,0,0,0,87,55,35,64,0,104,76,0,"Johnstown, PA Metro Area",56292,0.4674,132355,27780,27780,0.13497034490574591,0.021366778738997394,0.9786483321370556,0.28942616448188585,0.42077745457292887
"Joplin, MO",27900,2024,178,148,30,0,0,0,0,99,54,42,0,0,110,0,68,"Joplin, MO-KS Metro Area",60146,0.4491,202258,27900,27900,0.1607600193811864,0.02058756637561926,0.9919014328234236,0.19041026807345074,0.38652612010402554
"Juneau, AK",27940,2024,175,150,25,0,0,0,0,73,54,24,0,0,0,175,0,"Juneau, AK Micro Area",100513,0.4157,31969,27940,27940,0.08023397666489411,0.02164596953298508,0.9769776971441083,0.11920923394538459,0.4109606180987832
"Kahului-Wailuku-Lahaina, HI",27980,2024,182,181,0,1,0,0,0,101,38,24,0,0,0,182,0,"Kahului-Wailuku, HI Metro Area",95049,0.4541,164675,27980,27980,0.09705176863519052,0.028905419766206163,0.990362835888872,0.19613784727493547,0.33706998633672386
"Kalamazoo-Portage, MI",28020,2024,182,115,67,0,0,0,0,100,64,45,0,0,82,100,0,"Kalamazoo-Portage, MI Metro Area",70525,0.4679,261437,28020,28020,0.12878437252569452,0.03016787983338242,0.9923002482433626,0.12349820415625944,0.40641148727991827
"Kalispell, MT",28060,2024,241,207,34,0,0,0,0,77,53,39,0,0,177,53,11,"Kalispell, MT Micro Area",71327,0.4495,108445,28060,28060,0.09468394116833417,0.015381068744524874,0.9917930748305592,0.16190695744386555,0.40175204020471206
"Kansas City, MO-KS",28140,2024,182,70,107,5,0,0,0,126,77,54,0,4,74,82,22,"Kansas City, MO-KS Metro Area",81927,0.4507,2202006,28140,28140,0.09877402695542156,0.021697034431332158,0.9884273703159755,0.14666263398010723,0.40065830883294595
"Keene, NH",28300,2024,182,152,30,0,0,0,0,93,55,38,0,0,132,50,0,"Keene, NH Micro Area",81001,0.4201,76945,28300,28300,0.08485281694717006,0.017220092273701994,0.9912664890506205,0.1957892000779778,0.39663395932159334
"Kennewick-Richland, WA",28420,2024,213,174,37,2,0,0,0,108,58,36,0,0,81,105,27,"Kennewick-Richland, WA Metro Area",85881,0.4313,307900,28420,28420,0.11504384540435206,0.024384540435206235,0.9887236115621956,0.11820396232543033,0.34366352711919457
"Killeen-Temple, TX",28660,2024,182,110,69,3,0,0,0,112,67,46,0,0,101,81,0,"Killeen-Temple, TX Metro Area",67203,0.4495,485850,28660,28660,0.12886075949367087,0.029665534630029845,0.9072573839662448,0.13340537202840383,0.35567150355047855
"Kingsport-Bristol-Bristol, TN-VA",28700,2024,209,154,55,0,0,0,0,84,58,43,0,0,98,111,0,"Kingsport-Bristol, TN-VA Metro Area",55948,0.4737,309580,28700,28700,0.1477970153110666,0.02602235286517217,0.9869500613734737,0.20651204858194974,0.41958136830544607
"Kingsville, TX",28780,2024,169,77,88,4,0,0,0,121,81,52,0,0,0,169,0,"Kingsville, TX Micro Area",57612,0.4504,30629,28780,28780,0.27193182931208987,0.03568513500277515,0.9787129844265239,0.13941036272813348,0.3850599105422965
"Kinston, NC",28820,2024,274,261,13,0,0,0,0,77,47,34,0,0,214,0,60,"Kinston, NC Micro Area",44795,0.4669,54917,28820,28820,0.22033250177540653,0.0321940382759437,0.9824826556439719,0.18247537192490484,0.41753919551322904
"Klamath Falls, OR",28900,2024,274,217,48,7,2,0,0,164,62,31,0,0,0,274,0,"Klamath Falls, OR Micro Area",59353,0.4775,69812,28900,28900,0.1804560820489314,0.03260184495502206,0.9863347275540022,0.18962356041941214,0.4131094940697874
"Knoxville, TN",28940,2024,305,137,167,1,0,0,0,105,67,51,0,0,129,176,0,"Knoxville, TN Metro Area",69734,0.4691,919553,28940,28940,0.12312830255569826,0.01922129556425785,0.9895873321059254,0.1750578813836723,0.40348625908457697
"Kokomo, IN",29020,2024,274,168,106,0,0,0,0,93,64,46,0,0,164,110,0,"Kokomo, IN Metro Area",62496,0.4306,83610,29020,29020,0.12309532352589403,0.027018299246501613,0.9862456643942112,0.22260495156081808,0.42015309173543836
"La Crosse-Onalaska, WI-MN",29100,2024,98,90,8,0,0,0,0,67,49,41,0,0,98,0,0,"La Crosse-Onalaska, WI-MN Metro Area",71009,0.4458,169945,29100,29100,0.11784400835564447,0.015328488628673982,0.9909205919562212,0.16171702609667835,0.4166230250963547
"La Grande, OR",29260,2024,182,179,3,0,0,0,0,63,36,18,0,0,0,181,1,"La Grande, OR Micro Area",64212,0.4495,26192,29260,29260,0.15520006108735493,0.02626756261453879,0.9920968234575442,0.1851710445937691,0.4144777031154551
"Laconia, NH",29060,2024,182,171,11,0,0,0,0,74,48,36,0,0,115,67,0,"Laconia, NH Micro Area",87983,0.4492,64300,29060,29060,0.08625194401244168,0.01328149300155521,0.9869206842923794,0.18853810264385693,0.40618973561430793
"Lafayette, LA",29180,2024,305,133,169,3,0,0,0,108,64,52,0,0,99,206,0,"Lafayette, LA Metro Area",60910,0.4904,410883,29180,29180,0.18250450858273523,0.026007403567438907,0.9901310105309784,0.19979166818778096,0.3961297985071176
"Lafayette-West Lafayette, IN",29200,2024,305,194,111,0,0,0,0,90,61,45,0,0,187,118,0,"Lafayette-West Lafayette, IN Metro Area",59895,0.4662,225019,29200,29200,0.1613063785724761,0.01530537421284425,0.9914407227834094,0.15174274172403218,0.396708722374555
"Lake Charles, LA",29340,2024,305,154,147,4,0,0,0,147,65,50,0,0,106,199,0,"Lake Charles, LA Metro Area",67010,0.4779,245973,29340,29340,0.1730108589154094,0.02457993356994467,0.9902672244514642,0.1975867269984917,0.36887381948425235
"Lake City, FL",29380,2024,182,110,72,0,0,0,0,93,60,47,0,0,63,119,0,"Lake City, FL Micro Area",55070,0.456,70755,29380,29380,0.15881563140414104,0.026740159706027843,0.9388029114550208,0.1910677690622571,0.37764115610204224
"Lake Havasu City-Kingman, AZ",29420,2024,268,264,4,0,0,0,0,69,30,19,0,0,0,0,268,"Lake Havasu City-Kingman, AZ Metro Area",55799,0.4653,217420,29420,29420,0.1645984730015638,0.02604176248735167,0.9823015361972219,0.21731671419372642,0.4456765706926686
"Lakeland-Winter Haven, FL",29460,2024,182,118,63,1,0,0,0,105,58,46,0,0,95,87,0,"Lakeland-Winter Haven, FL Metro Area",63644,0.448,760961,29460,29460,0.14389173689584617,0.02011929652110949,0.9886104544122498,0.1930545717848878,0.36354425522464356
"Lancaster, PA",29540,2024,182,93,86,3,0,0,0,125,72,50,0,0,83,99,0,"Lancaster, PA Metro Area",83703,0.4303,555151,29540,29540,0.08475171619973665,0.01722053999722598,0.9884481879704801,0.20176312390682896,0.37924096326945284
"Lansing-East Lansing, MI",29620,2024,274,229,45,0,0,0,0,85,55,40,0,1,211,62,0,"Lansing-East Lansing, MI Metro Area",70886,0.452,470434,29620,29620,0.12541823082515294,0.028845704179544848,0.9935123736804737,0.1333066912680631,0.41024883405536167
"Laramie, WY",29660,2024,240,117,110,12,1,0,0,187,87,51,0,0,204,5,31,"Laramie, WY Micro Area",59881,0.4861,37713,29660,29660,0.1943096544957972,0.02524328480895182,0.9940869196298359,0.06416885424124308,0.4404051653276059
"Laredo, TX",29700,2024,183,81,91,11,0,0,0,129,88,52,1,0,64,117,1,"Laredo, TX Metro Area",62506,0.4565,267731,29700,29700,0.20810440330032756,0.02479354277240962,0.9936839588990442,0.10471704808184334,0.2972087655146397
"Las Cruces, NM",29740,2024,182,62,104,8,2,2,4,692,97,58,0,2,92,56,32,"Las Cruces, NM Metro Area",55663,0.4781,221665,29740,29740,0.21630388198407507,0.03131301739110821,0.9855683125437034,0.11615726434033338,0.37682990097669905
"Las Vegas-Henderson-Paradise, NV",29820,2024,275,68,169,37,1,0,0,170,105,67,1,0,224,41,9,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",73845,0.4697,2293764,29820,29820,0.1307440521343957,0.03750167846386987,0.9891645347995696,0.16391790960185965,0.3694268460050816
"Lawrenceburg, TN",29980,2024,176,126,50,0,0,0,0,80,57,39,0,0,0,176,0,"Lawrenceburg, TN Micro Area",53233,0.4429,44901,29980,29980,0.15028618516291398,0.025478274425959332,0.9889312042048062,0.22184361150085743,0.3720184405692524
"Lawton, OK",30020,2024,270,175,90,5,0,0,0,133,77,44,0,0,147,123,0,"Lawton, OK Metro Area",59060,0.4455,127174,30020,30020,0.16581219431644834,0.026797930394577507,0.8885306745089405,0.17511441017818108,0.3677559878591536
"Lebanon, PA",30140,2024,182,120,60,2,0,0,0,108,65,43,0,0,94,88,0,"Lebanon, PA Metro Area",76350,0.4248,143592,30140,30140,0.10302105966906235,0.02067663936709566,0.9851454120006685,0.2510724831466934,0.38892138837818263
"Lewiston, ID-WA",30300,2024,272,183,83,2,4,0,0,196,70,35,0,0,0,272,0,"Lewiston, ID-WA Metro Area",70694,0.4564,64901,30300,30300,0.13403491471626014,0.018381843114898076,0.9840064097625615,0.1716460455154774,0.4112109212492874
"Lewiston-Auburn, ME",30340,2024,305,281,24,0,0,0,0,77,48,33,0,0,171,132,2,"Lewiston-Auburn, ME Metro Area",67298,0.428,112323,30340,30340,0.12517471933620006,0.022194920007478434,0.9856663372595105,0.20139241295193328,0.41515985149969287
"Lexington-Fayette, KY",30460,2024,187,152,35,0,0,0,0,93,54,42,0,3,100,79,5,"Lexington-Fayette, KY Metro Area",70717,0.4813,517378,30460,30460,0.13521061970164946,0.024541051223670122,0.9884359211253667,0.12422058920170552,0.4124102687010271
"Lima, OH",30620,2024,274,200,74,0,0,0,0,97,61,43,0,0,171,103,0,"Lima, OH Metro Area",62001,0.4342,101685,30620,30620,0.12602645424595565,0.028175247086590943,0.9778826768943305,0.23524610316172492,0.4024979102129124
"Lincoln, NE",30700,2024,152,125,27,0,0,0,0,67,56,43,0,0,111,41,0,"Lincoln, NE Metro Area",73095,0.457,341309,30700,30700,0.10956640463626802,0.017175052518392426,0.9852450418828687,0.10840909557028967,0.40669012537026566
"Little Rock-North Little Rock-Conway, AR",30780,2024,275,104,167,3,0,1,0,205,74,53,1,0,56,218,0,"Little Rock-North Little Rock-Conway, AR Metro Area",65309,0.4784,753605,30780,30780,0.13907816429031122,0.021399804937599937,0.9829592425740276,0.16396786114741807,0.4067382780103635
"Logan, UT-ID",30860,2024,274,172,99,2,1,0,0,161,75,46,0,0,197,77,0,"Logan, UT-ID Metro Area",77520,0.4309,151746,30860,30860,0.12259301727887391,0.011894876965455431,0.9947478022484942,0.10727795131337893,0.3162389782926733
"Longview, TX",30980,2024,180,166,13,1,0,0,0,129,50,37,0,7,173,0,0,"Longview, TX Metro Area",65210,0.4659,288921,30980,30980,0.15416324877734744,0.020278899768448815,0.9710405266491532,0.1645501711540525,0.36779604113235104
"Longview, WA",31020,2024,213,207,6,0,0,0,0,67,34,20,0,0,0,213,0,"Longview-Kelso, WA Metro Area",72932,0.4351,111539,31020,31020,0.12815248478110797,0.022754372909923885,0.9932400326343253,0.1733026116425645,0.3891822591201284
"Los Alamos, NM",31060,2024,20,20,0,0,0,0,0,16,14,9,0,0,0,20,0,"Los Alamos, NM Micro Area",143188,0.3732,19374,31060,31060,0.029111179931867452,0.011768349334159182,0.9920512026427171,0.06328068545473314,0.4238154227314958
"Los Angeles-Long Beach-Anaheim, CA",31080,2024,245,36,124,45,34,6,0,230,164,75,1,1,149,91,3,"Los Angeles-Long Beach-Anaheim, CA Metro Area",93525,0.4912,13012469,31080,31080,0.12441674212634052,0.03502517469974376,0.9934577365755877,0.12292986058218468,0.34312535153782114
"Louisville/Jefferson County, KY-IN",31140,2024,295,156,133,5,1,0,0,156,71,49,0,3,154,138,0,"Louisville/Jefferson County, KY-IN Metro Area",71737,0.4616,1361847,31140,31140,0.12025726825406965,0.022511339379533823,0.9864669085440582,0.16752762975576552,0.404173890312201
"Lubbock, TX",31180,2024,175,162,13,0,0,0,0,91,43,19,0,0,0,175,0,"Lubbock, TX Metro Area",62288,0.4816,354782,31180,31180,0.16330873606890992,0.024152860066181486,0.9826400437451731,0.12885659362650867,0.3904510375385448
"Ludington, MI",31220,2024,213,191,22,0,0,0,0,97,51,37,0,0,213,0,0,"Ludington, MI Micro Area",62296,0.4324,29177,31220,31220,0.14442883092847106,0.020735510847585428,0.9915344278027213,0.21407272851903897,0.42588340130925045
"Lynchburg, VA",31340,2024,90,75,15,0,0,0,0,61,53,29,0,0,0,90,0,"Lynchburg, VA Metro Area",67782,0.4436,262716,31340,31340,0.11108192877479864,0.02049361287473926,0.9874236818465567,0.17135233484066445,0.39103061861477795
"Macon, GA",31420,2024,274,136,136,2,0,0,0,123,66,51,0,0,40,234,0,"Macon-Bibb County, GA Metro Area",58127,0.5057,234040,31420,31420,0.20104255682789265,0.028332763630148694,0.9779183045633225,0.18584002734575286,0.3764911980857973
"Madison, WI",31540,2024,182,132,50,0,0,0,0,77,58,43,0,0,73,100,9,"Madison, WI Metro Area",86827,0.445,683967,31540,31540,0.09734387770170198,0.014652753714726003,0.991800774013951,0.12046633828825075,0.4320778634056906
"Manchester-Nashua, NH",31700,2024,183,165,18,0,0,0,0,97,50,38,1,0,177,5,0,"Manchester-Nashua, NH Metro Area",100436,0.428,424732,31700,31700,0.06386615559929555,0.019395760149929837,0.9902997654991854,0.15422195643370407,0.3949125566239417
"Manitowoc, WI",31820,2024,98,87,8,3,0,0,0,115,51,41,0,0,98,0,0,"Manitowoc, WI Micro Area",68611,0.4195,81314,31820,31820,0.09624418919251297,0.010453304474014316,0.9913913963155176,0.24934205671840026,0.4308360183978159
"Marietta, OH",31930,2024,213,185,28,0,0,0,0,90,54,41,0,0,213,0,0,"Marietta, OH Micro Area",61355,0.4635,59318,31930,31930,0.12524023062139655,0.021983209143936075,0.9905593580363464,0.24628274722681143,0.4195522438382953
"Marquette, MI",32100,2024,149,131,18,0,0,0,0,67,52,21,0,0,0,149,0,"Marquette, MI Micro Area",64675,0.4219,66430,32100,32100,0.12852626825229566,0.024175824175824177,0.9742887249736565,0.15116664157760049,0.41979527321993076
"Marshall, MN",32140,2024,182,154,27,1,0,0,0,142,55,39,0,0,100,76,6,"Marshall, MN Micro Area",72761,0.457,25498,32140,32140,0.12063691269903522,0.0173739116793474,0.9891364028551259,0.15707114283473214,0.3923052788453996
"Mayaguez, PR",32420,2024,176,176,0,0,0,0,0,39,29,15,0,0,108,68,0,"Mayagüez, PR Metro Area",20400,0.5546,211487,32420,32420,0.47309290878399146,0.060968286466780465,0.9940847427974296,0.18562843106195653,0.38216060561642085
"McAlester, OK",32540,2024,272,150,120,2,0,0,0,102,66,48,0,0,96,176,0,"McAlester, OK Micro Area",54787,0.4688,43629,32540,32540,0.17311879713034908,0.02422700497375599,0.9544568979348599,0.20619312842375484,0.4045245135116551
"McAllen-Edinburg-Mission, TX",32580,2024,182,53,106,18,5,0,0,157,105,60,0,0,16,161,5,"McAllen-Edinburg-Mission, TX Metro Area",52281,0.4759,880921,32580,32580,0.2691739667915738,0.03200854560170549,0.9914691555769473,0.1233061761497342,0.2998316534626828
"Medford, OR",32780,2024,274,215,57,1,1,0,0,152,60,39,0,0,58,216,0,"Medford, OR Metro Area",71443,0.456,222563,32780,32780,0.12263943243036803,0.025489411986718367,0.9943521609611661,0.15628383873330248,0.40743070501386125
"Memphis, TN-MS-AR",32820,2024,305,93,205,5,2,0,0,159,78,56,0,0,81,224,0,"Memphis, TN-MS-AR Metro Area",64743,0.4875,1341606,32820,32820,0.16023333228980788,0.03240668273695854,0.9875291255405835,0.16429339165149828,0.38586142280222363
"Merced, CA",32900,2024,182,110,67,5,0,0,0,133,74,47,0,0,124,57,1,"Merced, CA Metro Area",65044,0.4631,285597,32900,32900,0.18086674579915055,0.047062819287317446,0.991137862092389,0.1515352052017353,0.29623910615307586
"Meridian, MS",32940,2024,214,213,1,0,0,0,0,51,45,36,0,0,214,0,0,"Meridian, MS Micro Area",49156,0.4963,87408,32940,32940,0.2308369943254622,0.02499771187991946,0.9595460369760205,0.15977942522423577,0.39812145341387517
"Miami, OK",33060,2024,213,104,108,0,0,1,0,288,69,51,0,0,45,164,4,"Miami, OK Micro Area",48656,0.4384,30360,33060,33060,0.19917654808959157,0.014525691699604742,0.9863965744400527,0.18399209486166007,0.3871870882740448
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2024,274,123,147,1,3,0,0,197,64,51,0,3,60,210,1,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",73481,0.5083,6138876,33100,33100,0.12949927641477038,0.02621652563107644,0.991541122511678,0.16368354728129383,0.37649074521133835
"Michigan City-La Porte, IN",33140,2024,274,190,82,2,0,0,0,115,67,43,0,0,218,56,0,"Michigan City-La Porte, IN Metro Area",70452,0.4296,112141,33140,33140,0.13100471727557272,0.020518811139547535,0.9397009122444065,0.21703926307059862,0.38951855253653883
"Middlesborough, KY",33180,2024,182,120,62,0,0,0,0,88,63,45,0,0,75,107,0,"Middlesborough, KY Micro Area",32403,0.4938,23878,33180,33180,0.26250104698886007,0.0350950665884915,0.9786833068096156,0.21325069101264763,0.39894463522908113
"Milwaukee-Waukesha-West Allis, WI",33340,2024,183,131,49,3,0,0,0,129,66,44,1,8,90,80,4,"Milwaukee-Waukesha, WI Metro Area",76404,0.4706,1566361,33340,33340,0.1220491317135705,0.019853022387559444,0.993375090416577,0.15488766638086623,0.41502820869518586
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2024,183,118,61,2,2,0,0,166,68,45,1,0,107,74,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",98180,0.4448,3693351,33460,33460,0.08030755809561561,0.021745563852447275,0.9920627635986939,0.11897352837572167,0.3950060527688812
"Minot, ND",33500,2024,274,217,48,7,2,0,0,152,63,39,0,0,168,106,0,"Minot, ND Metro Area",79195,0.4293,76773,33500,33500,0.07716254412358511,0.017388925794224533,0.9356805126802391,0.16488869784950438,0.4100009117788806
"Missoula, MT",33540,2024,182,127,55,0,0,0,0,92,64,42,0,0,100,82,0,"Missoula, MT Metro Area",70888,0.4716,124435,33540,33540,0.10951098967332343,0.025611765178607304,0.9924378189416161,0.12264234339213244,0.43214529674127056
"Mobile, AL",33660,2024,212,135,77,0,0,0,0,80,58,46,0,0,59,152,1,"Mobile, AL Metro Area",58119,0.4649,413162,33660,33660,0.15961777704629176,0.024310076918980933,0.9885613875429008,0.19548990468629737,0.3884844201548061
"Modesto, CA",33700,2024,184,109,71,4,0,0,0,143,74,47,0,0,109,74,1,"Modesto, CA Metro Area",79661,0.4389,552250,33700,33700,0.1302725215029425,0.03663014938886374,0.9947632412856496,0.164441828881847,0.31952376641014035
"Monroe, LA",33740,2024,305,247,58,0,0,0,0,97,57,41,0,0,228,77,0,"Monroe, LA Metro Area",49203,0.5167,224705,33740,33740,0.24282058699183373,0.03131661511759863,0.9763022629670012,0.18614628067911262,0.3830844885516566
"Montgomery, AL",33860,2024,205,138,67,0,0,0,0,75,57,44,0,0,70,134,1,"Montgomery, AL Metro Area",62746,0.472,385159,33860,33860,0.1553150776692223,0.022959349255761905,0.9668838064279947,0.1666298853200886,0.3894443593425053
"Morehead City, NC",33980,2024,243,236,7,0,0,0,0,71,46,37,0,0,243,0,0,"Morehead City, NC Micro Area",70235,0.4628,68652,33980,33980,0.09877352444211385,0.019941152479170308,0.9772330012235623,0.14856085765891744,0.4544368700110703
"Morgantown, WV",34060,2024,139,116,23,0,0,0,0,71,53,42,0,0,109,30,0,"Morgantown, WV Metro Area",62394,0.4944,140724,34060,34060,0.17638782297262728,0.02669054319092692,0.965769875785225,0.16640374065546745,0.40617094454392993
"Morristown, TN",34100,2024,122,111,11,0,0,0,0,97,49,41,0,0,122,0,0,"Morristown, TN Metro Area",58130,0.4641,120765,34100,34100,0.14241709104459074,0.027458286755268495,0.9884983231896659,0.21358009357015692,0.39008818780275745
"Moscow, ID",34140,2024,182,178,4,0,0,0,0,59,31,19,0,0,0,182,0,"Moscow, ID Micro Area",65179,0.4611,40315,34140,34140,0.13491256356194964,0.032072429616767956,0.993873248170656,0.10063251891355575,0.39831328289718465
"Moses Lake, WA",34180,2024,213,194,19,0,0,0,0,76,48,22,0,0,0,213,0,"Moses Lake, WA Micro Area",71115,0.4359,100428,34180,34180,0.14820567969092285,0.029603297885051977,0.9957880272433982,0.14358545425578523,0.3435496076791333
"Mount Vernon, IL",34500,2024,274,170,103,1,0,0,0,112,61,46,0,0,101,173,0,"Mount Vernon, IL Micro Area",61102,0.4317,36808,34500,34500,0.13516083460117365,0.030672679852206043,0.9615844381656161,0.18678004781569224,0.4022223429689198
"Mount Vernon, OH",34540,2024,245,208,36,1,0,0,0,101,54,41,0,0,245,0,0,"Mount Vernon, OH Micro Area",73988,0.4103,62888,34540,34540,0.10383538989950387,0.011862358478565068,0.9886941864902684,0.22508268668108383,0.37264660984607556
"Mount Vernon-Anacortes, WA",34580,2024,213,209,4,0,0,0,0,57,39,26,0,0,59,154,0,"Mount Vernon-Anacortes, WA Metro Area",85474,0.434,130407,34580,34580,0.11415798231690016,0.022790187643301357,0.9862277331738327,0.15334299539135168,0.39505548015060543
"Muncie, IN",34620,2024,305,205,100,0,0,0,0,97,62,44,0,0,187,118,0,"Muncie, IN Metro Area",56932,0.4419,112109,34620,34620,0.185435602850797,0.030907420456876788,0.9854694984345592,0.17739878154296265,0.4116172653399816
"Muscatine, IA",34700,2024,305,231,74,0,0,0,0,78,55,38,0,0,0,305,0,"Muscatine, IA Micro Area",69512,0.4131,42735,34700,34700,0.11367731367731368,0.01907101907101907,0.9817479817479817,0.19047619047619047,0.4017784017784018
"Muskegon, MI",34740,2024,212,174,34,4,0,0,0,122,61,40,0,0,212,0,0,"Muskegon-Norton Shores, MI Metro Area",63495,0.4385,175378,34740,34740,0.12171994206799028,0.03244990819829169,0.9758293514579935,0.19731095120254535,0.38267057441640345
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,2024,274,215,59,0,0,0,0,87,55,41,0,0,144,130,0,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",64623,0.4461,368937,34820,34820,0.12591309627388958,0.023922783564673644,0.9955954539663954,0.20485069266568548,0.40750046755950203
"Naples-Immokalee-Marco Island, FL",34940,2024,182,125,57,0,0,0,0,87,58,45,0,0,70,112,0,"Naples-Marco Island, FL Metro Area",86173,0.5334,387681,34940,34940,0.10352583696389557,0.017648530621825677,0.9949030259414312,0.16975554644153312,0.41494682483794665
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2024,182,85,95,2,0,0,0,119,61,51,0,3,58,121,0,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",82499,0.4642,2043713,34980,34980,0.10179658298400998,0.0195526475586347,0.9909874820975352,0.14647115323922683,0.3942960679899771
"New Castle, IN",35220,2024,268,208,60,0,0,0,0,75,56,35,0,0,0,268,0,"New Castle, IN Micro Area",60144,0.424,48896,35220,35220,0.12183000654450261,0.01832460732984293,0.9361297447643979,0.2489160667539267,0.3775359947643979
"New Haven-Milford, CT",35300,2024,183,132,43,7,1,0,0,156,59,42,1,7,111,64,0,"New Haven, CT Metro Area",86266,0.4783,566803,35300,35300,0.11195424159716869,0.03189997230078175,0.9920836692819198,0.17548601542334816,0.40179568562622286
