Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Los Angeles-Long Beach-Anaheim, CA Metro Area",93525,0.4912,1618969,455764,1599621,825300,12927338,4464908,13012469,31080,31080
"Louisville/Jefferson County, KY-IN Metro Area",71737,0.4616,163772,30657,228147,236400,1343417,550423,1361847,31140,31140
"Lubbock, TX Metro Area",62288,0.4816,57939,8569,45716,188700,348623,138525,354782,31180,31180
"Ludington, MI Micro Area",62296,0.4324,4214,605,6246,199300,28930,12426,29177,31220,31220
"Lynchburg, VA Metro Area",67782,0.4436,29183,5384,45017,224600,259412,102730,262716,31340,31340
"Macon-Bibb County, GA Metro Area",58127,0.5057,47052,6631,43494,172300,228872,88114,234040,31420,31420
"Madison, WI Metro Area",86827,0.445,66580,10022,82395,344600,678359,295527,683967,31540,31540
"Manchester-Nashua, NH Metro Area",100436,0.428,27126,8238,65503,385500,420612,167732,424732,31700,31700
"Manitowoc, WI Micro Area",68611,0.4195,7826,850,20275,172900,80614,35033,81314,31820,31820
"Marietta, OH Micro Area",61355,0.4635,7429,1304,14609,174100,58758,24887,59318,31930,31930
"Marquette, MI Micro Area",64675,0.4219,8538,1606,10042,202000,64722,27887,66430,32100,32100
"Marshall, MN Micro Area",72761,0.457,3076,443,4005,193100,25221,10003,25498,32140,32140
"Mayagüez, PR Metro Area",20400,0.5546,100053,12894,39258,108900,210236,80822,211487,32420,32420
"McAlester, OK Micro Area",54787,0.4688,7553,1057,8996,146300,41642,17649,43629,32540,32540
"McAllen-Edinburg-Mission, TX Metro Area",52281,0.4759,237121,28197,108623,124000,873406,264128,880921,32580,32580
"Medford, OR Metro Area",71443,0.456,27295,5673,34783,400200,221306,90679,222563,32780,32780
"Memphis, TN-MS-AR Metro Area",64743,0.4875,214970,43477,220417,228100,1324875,517674,1341606,32820,32820
"Merced, CA Metro Area",65044,0.4631,51655,13441,43278,368400,283066,84605,285597,32900,32900
"Meridian, MS Micro Area",49156,0.4963,20177,2185,13966,121500,83872,34799,87408,32940,32940
"Miami, OK Micro Area",48656,0.4384,6047,441,5586,114300,29947,11755,30360,33060,33060
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",73481,0.5083,794980,160940,1004833,405600,6086948,2311230,6138876,33100,33100
"Michigan City-La Porte, IN Metro Area",70452,0.4296,14691,2301,24339,180700,105379,43681,112141,33140,33140
"Middlesborough, KY Micro Area",32403,0.4938,6268,838,5092,83000,23369,9526,23878,33180,33180
"Milwaukee-Waukesha, WI Metro Area",76404,0.4706,191173,31097,242610,283800,1555984,650084,1566361,33340,33340
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",98180,0.4448,296604,80314,439411,354400,3664036,1458896,3693351,33460,33460
"Minot, ND Metro Area",79195,0.4293,5924,1335,12659,247900,71835,31477,76773,33500,33500
"Missoula, MT Metro Area",70888,0.4716,13627,3187,15261,417300,123494,53774,124435,33540,33540
"Mobile, AL Metro Area",58119,0.4649,65948,10044,80769,176600,408436,160507,413162,33660,33660
"Modesto, CA Metro Area",79661,0.4389,71943,20229,90813,426600,549358,176457,552250,33700,33700
"Monroe, LA Metro Area",49203,0.5167,54563,7037,41828,163000,219380,86081,224705,33740,33740
"Montgomery, AL Metro Area",62746,0.472,59821,8843,64179,181400,372404,149998,385159,33860,33860
"Morehead City, NC Micro Area",70235,0.4628,6781,1369,10199,304200,67089,31198,68652,33980,33980
"Morgantown, WV Metro Area",62394,0.4944,24822,3756,23417,226800,135907,57158,140724,34060,34060
"Morristown, TN Metro Area",58130,0.4641,17199,3316,25793,198000,119376,47109,120765,34100,34100
"Moscow, ID Micro Area",65179,0.4611,5439,1293,4057,342500,40068,16058,40315,34140,34140
"Moses Lake, WA Micro Area",71115,0.4359,14884,2973,14420,275700,100005,34502,100428,34180,34180
"Mount Vernon, IL Micro Area",61102,0.4317,4975,1129,6875,118400,35394,14805,36808,34500,34500
"Mount Vernon, OH Micro Area",73988,0.4103,6530,746,14155,218300,62177,23435,62888,34540,34540
"Mount Vernon-Anacortes, WA Metro Area",85474,0.434,14887,2972,19997,486200,128611,51518,130407,34580,34580
"Muncie, IN Metro Area",56932,0.4419,20789,3465,19888,127600,110480,46146,112109,34620,34620
"Muscatine, IA Micro Area",69512,0.4131,4858,815,8140,172400,41955,17170,42735,34700,34700
"Muskegon-Norton Shores, MI Metro Area",63495,0.4385,21347,5691,34604,180900,171139,67112,175378,34740,34740
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",64623,0.4461,46454,8826,75577,260500,367312,150342,368937,34820,34820
"Naples-Marco Island, FL Metro Area",86173,0.5334,40135,6842,65811,486800,385705,160867,387681,34940,34940
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",82499,0.4642,208043,39960,299345,376800,2025294,805828,2043713,34980,34980
"New Castle, IN Micro Area",60144,0.424,5957,896,12171,140200,45773,18460,48896,35220,35220
"New Haven, CT Metro Area",86266,0.4783,63456,18081,99466,328300,562316,227739,566803,35300,35300
"New Orleans-Metairie, LA Metro Area",62271,0.5087,177337,33580,152992,248000,977807,397029,988763,35380,35380
"New York-Newark-Jersey City, NY-NJ Metro Area",97334,0.5137,2416274,681021,2802276,587400,19617922,7362500,19756722,35620,35620
"Niles, MI Metro Area",63152,0.4762,22818,4847,25521,211400,152246,63651,153411,35660,35660
"Nogales, AZ Micro Area",53614,0.443,9707,2210,6488,216100,48038,16816,48209,35700,35700
"North Port-Bradenton-Sarasota, FL Metro Area",78278,0.4908,78842,16672,156634,367700,854991,374007,865031,35840,35840
"Norwich-New London-Willimantic, CT Metro Area",84185,0.4425,28317,7242,48938,293900,268977,114577,279025,35980,35980
"Ocala, FL Metro Area",58535,0.4484,55184,8159,84123,220800,379768,159796,387697,36100,36100
"Odessa, TX Metro Area",71031,0.4522,24626,4469,23271,190500,161844,62422,163206,36220,36220
"Ogden, UT Metro Area",98361,0.3975,41682,9018,83920,437700,637436,210632,645510,36260,36260
"Oklahoma City, OK Metro Area",70499,0.4648,195835,34094,205939,214700,1420967,562932,1445122,36420,36420
"Olympia-Lacey-Tumwater, WA Metro Area",93985,0.4056,28292,7504,36776,451500,288747,117172,296640,36500,36500
"Omaha, NE-IA Metro Area",83023,0.4567,90658,17597,123966,248100,958884,384397,972840,36540,36540
"Orlando-Kissimmee-Sanford, FL Metro Area",75611,0.4619,313534,73671,401941,338500,2698969,985142,2721022,36740,36740
"Othello, WA Micro Area",65042,0.4439,4199,354,2501,251300,20492,6301,20690,36830,36830
"Owensboro, KY Metro Area",65656,0.4671,16154,2484,21947,182100,110649,44765,112322,36980,36980
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",107327,0.4492,74630,23547,100093,768400,830360,278045,838259,37100,37100
"Paducah, KY-IL Metro Area",62286,0.4862,15702,1587,21349,160500,101401,41268,102924,37140,37140
"Pahrump, NV Micro Area",55975,0.4427,8081,1782,12455,266000,52382,21943,53207,37220,37220
"Palatka, FL Micro Area",47256,0.4757,17409,2027,16372,147300,73118,30650,74235,37260,37260
"Palm Bay-Melbourne-Titusville, FL Metro Area",75817,0.4555,60603,14187,101406,304400,613812,251889,620533,37340,37340
"Panama City-Panama City Beach, FL Metro Area",67834,0.4405,25100,3598,34975,263500,199342,85400,206627,37460,37460
"Parkersburg-Vienna, WV Metro Area",56029,0.4573,13138,2186,19857,151600,88045,37777,88960,37620,37620
"Payson, AZ Micro Area",59089,0.4364,9297,1521,9975,247000,52491,23253,53610,37740,37740
"Pensacola-Ferry Pass-Brent, FL Metro Area",73588,0.4451,60047,12888,79702,260500,490033,199542,516994,37860,37860
"Peoria, IL Metro Area",70872,0.4571,42918,9145,61625,160500,359991,152843,365773,37900,37900
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",89273,0.4822,712006,197394,1042489,326700,6168768,2445882,6241882,37980,37980
"Phoenix-Mesa-Chandler, AZ Metro Area",84703,0.4549,544541,118176,637914,401400,4881866,1854535,4941206,38060,38060
"Pierre, SD Micro Area",78965,0.4031,1605,59,3250,217500,19840,8588,20744,38180,38180
"Pittsburgh, PA Metro Area",73942,0.4708,259174,63618,498616,204500,2418974,1059751,2443921,38300,38300
"Pittsfield, MA Metro Area",72565,0.4949,13481,3780,24097,283800,126266,56517,128047,38340,38340
"Platteville, WI Micro Area",64349,0.429,6469,736,10229,186300,50640,19913,51678,38420,38420
"Pocatello, ID Metro Area",64080,0.4405,10398,1965,12012,267200,87350,33340,88457,38540,38540
"Ponca City, OK Micro Area",56673,0.4537,6616,1202,8259,116800,42794,16716,43731,38620,38620
"Ponce, PR Metro Area",20646,0.54,129501,13632,55454,103100,269631,102697,273739,38660,38660
"Port Angeles, WA Micro Area",67999,0.4517,8225,1876,12078,385600,76283,34377,77593,38820,38820
"Port St. Lucie, FL Metro Area",72506,0.4715,57695,12599,89577,325300,500793,199460,506701,38940,38940
"Portland-South Portland, ME Metro Area",88602,0.4489,41470,10564,86344,379500,551675,236428,557764,38860,38860
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",94573,0.4496,236581,68018,288798,526500,2493287,1000418,2510529,38900,38900
"Portsmouth, OH Micro Area",49571,0.4632,15618,1935,19111,132300,70519,28637,73118,39020,39020
"Price, UT Micro Area",53673,0.4393,3377,493,3253,200700,20250,8023,20446,39220,39220
"Providence-Warwick, RI-MA Metro Area",85646,0.4598,180736,50909,277945,385900,1651745,669104,1673807,39300,39300
"Provo-Orem-Lehi, UT Metro Area",96745,0.4138,59272,12520,51484,487200,692649,199358,695895,39340,39340
"Pueblo, CO Metro Area",62250,0.4558,25321,4068,28644,271800,164662,67816,168726,39380,39380
"Pullman, WA Micro Area",52893,0.5164,9743,1634,3088,323300,46653,17952,47042,39420,39420
"Quincy, IL-MO Micro Area",63470,0.4427,9188,1486,16623,151800,73817,30986,75111,39500,39500
"Racine-Mount Pleasant, WI Metro Area",75331,0.4294,20736,4261,34417,239400,192634,79109,196888,39540,39540
"Raleigh-Cary, NC Metro Area",96066,0.4491,121749,33046,143659,381000,1438753,555371,1449594,39580,39580
"Rapid City, SD Metro Area",71985,0.453,15878,2528,22606,274200,145946,61532,151064,39660,39660
"Reading, PA Metro Area",77684,0.4439,48747,11745,95426,239700,425722,161701,429989,39740,39740
"Red Bluff, CA Micro Area",61834,0.5054,9988,1839,11574,315600,65061,24526,65520,39780,39780
"Red Wing, MN Micro Area",82749,0.4287,4344,898,9710,269400,46998,19631,47844,39860,39860
"Redding, CA Metro Area",71931,0.4641,23179,5115,28708,347200,179911,71473,181554,39820,39820
"Reno, NV Metro Area",84684,0.462,58715,14962,79454,474000,552923,221022,556539,39900,39900
"Richmond, VA Metro Area",84405,0.4611,128665,32887,187734,325800,1302380,523778,1327321,40060,40060
"Riverside-San Bernardino-Ontario, CA Metro Area",86031,0.4412,558181,150760,725334,493600,4576170,1430238,4637725,40140,40140
"Riverton, WY Micro Area",64646,0.4204,4766,1502,6557,252700,38890,14810,39472,40180,40180
"Roanoke Rapids, NC Micro Area",45823,0.4923,15137,2193,14489,102400,63690,27866,65431,40260,40260
"Roanoke, VA Metro Area",67447,0.4684,37288,5683,60356,236300,309626,130141,314661,40220,40220
"Rochester, MN Metro Area",89675,0.4501,17496,4168,31774,284600,224591,92402,227252,40340,40340
"Rochester, NY Metro Area",74438,0.4574,126986,26383,153972,190100,1047910,442949,1058875,40380,40380
"Rock Springs, WY Micro Area",76464,0.4411,5537,1254,6460,242900,41465,16863,41786,40540,40540
"Rockford, IL Metro Area",66571,0.448,50255,12214,57168,162600,333234,134604,336605,40420,40420
"Rocky Mount, NC Metro Area",57437,0.4542,23632,4609,29033,153000,142488,57656,144228,40580,40580
"Rome, GA Metro Area",62540,0.4683,15943,1978,16164,194100,96966,36688,98985,40660,40660
"Roswell, NM Micro Area",52029,0.4839,13763,1576,8548,141900,63156,23605,64446,40740,40740
"Ruidoso, NM Micro Area",51643,0.4912,3205,529,3811,212200,20074,9376,20227,40760,40760
"Rutland, VT Micro Area",64778,0.4642,7068,1235,13278,218400,59901,25448,60484,40860,40860
"Sacramento-Roseville-Folsom, CA Metro Area",93986,0.4551,274810,70987,294263,559000,2387158,876004,2406563,40900,40900
"Salem, OH Micro Area",58474,0.4486,13547,2323,29731,139100,98087,41375,101203,41400,41400
"Salem, OR Metro Area",76010,0.4371,54789,10921,55359,389800,427948,157987,435085,41420,41420
"Salinas, CA Metro Area",94486,0.4627,52732,10068,47900,723100,420702,132046,435834,41500,41500
"Salisbury, MD Metro Area",69592,0.4542,17958,4082,25287,228300,124227,48330,128802,41540,41540
"Salt Lake City-Murray, UT Metro Area",95045,0.4277,101251,25612,157656,478200,1253549,439639,1261337,41620,41620
"San Antonio-New Braunfels, TX Metro Area",74297,0.4596,344984,67529,351142,258700,2563451,949097,2612802,41700,41700
"San Diego-Chula Vista-Carlsbad, CA Metro Area",102285,0.4594,330602,104758,352202,791600,3171172,1159822,3282782,41740,41740
"San Francisco-Oakland-Fremont, CA Metro Area",133780,0.4936,399787,138635,447095,1113800,4627006,1735054,4653593,41860,41860
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",157444,0.4742,133588,48706,169027,1342700,1959119,674655,1969353,41940,41940
"San Juan-Bayamón-Caguas, PR Metro Area",27966,0.5465,776792,97580,369576,138700,2047762,796610,2063795,41980,41980
"San Luis Obispo-Paso Robles, CA Metro Area",93398,0.474,34424,7005,29735,777200,276628,108897,281486,42020,42020
"Sandpoint, ID Micro Area",65168,0.4701,5231,826,8739,433400,49062,19599,49456,41760,41760
"Santa Cruz-Watsonville, CA Metro Area",109266,0.4826,28613,7922,23364,1015200,264998,96873,266021,42100,42100
"Santa Fe, NM Metro Area",74689,0.4858,19103,4114,19901,416900,153738,69348,155175,42140,42140
"Santa Maria-Santa Barbara, CA Metro Area",95977,0.4915,58387,13563,41099,735700,436460,148960,443975,42200,42200
"Santa Rosa-Petaluma, CA Metro Area",102840,0.4574,41044,13476,57314,779000,482063,190498,485642,42220,42220
"Savannah, GA Metro Area",74632,0.4597,49403,11806,58677,271100,400864,158617,412089,42340,42340
"Sayre, PA Micro Area",62482,0.4479,7968,1487,17898,182300,59466,24487,59971,42380,42380
"Scottsbluff, NE Micro Area",61156,0.4428,4943,619,5784,161400,35948,15351,36594,42420,42420
"Scranton--Wilkes-Barre, PA Metro Area",63656,0.4584,80657,14940,132134,176500,557481,232592,567887,42540,42540
"Seattle-Tacoma-Bellevue, WA Metro Area",112594,0.4644,332072,102267,446120,673500,3969281,1586350,4021467,42660,42660
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",71049,0.5015,18567,3614,30019,314700,161909,68696,163856,42680,42680
"Sebring, FL Metro Area",55581,0.4601,15723,2224,23449,177900,102449,45943,103808,42700,42700
"Sevierville, TN Micro Area",63829,0.4495,13285,1687,21071,259500,97926,39221,98802,42940,42940
"Sheboygan, WI Metro Area",71898,0.4111,9265,1490,24115,218400,115463,49426,117783,43100,43100
"Shelton, WA Micro Area",78359,0.4214,8232,1842,11712,377400,65544,25373,66968,43220,43220
"Sheridan, WY Micro Area",70855,0.4425,3012,430,5398,352200,31225,13515,31585,43260,43260
"Show Low, AZ Micro Area",52752,0.4549,25979,3317,18587,186100,105331,39171,107744,43320,43320
"Shreveport-Bossier City, LA Metro Area",54635,0.5082,77414,12537,69536,187300,377664,154871,389004,43340,43340
"Sierra Vista-Douglas, AZ Metro Area",58970,0.4454,18544,3392,17897,207400,117474,50476,125458,43420,43420
"Sioux City, IA-NE-SD Metro Area",72027,0.4362,17312,3144,25723,179100,142470,54926,144007,43580,43580
"Sioux Falls, SD-MN Metro Area",81418,0.4389,23248,3457,42831,274800,288963,118748,293107,43620,43620
"Somerset, KY Micro Area",50943,0.5135,13006,1477,12593,156300,64588,25920,65503,43700,43700
"Somerset, PA Micro Area",59378,0.4206,7702,1824,24603,130600,69157,29071,73255,43740,43740
"Sonora, CA Micro Area",72259,0.4436,5547,1818,8598,406200,52361,22809,54873,43760,43760
"South Bend-Mishawaka, IN-MI Metro Area",65385,0.4719,44765,8023,54264,183800,321329,128094,324180,43780,43780
"Spartanburg, SC Metro Area",62440,0.4559,53919,8069,65524,207900,360520,140344,365086,43900,43900
"Spokane-Spokane Valley, WA Metro Area",72836,0.453,71028,16352,80535,365700,582121,234862,591793,44060,44060
"Springfield, IL Metro Area",74580,0.4546,25876,5527,35427,171100,205219,89485,207386,44100,44100
"Springfield, MA Metro Area",70535,0.4707,70787,13781,83373,276300,458131,184217,462853,44140,44140
"Springfield, MO Metro Area",61488,0.4603,64901,8536,81917,213400,475608,198293,481671,44180,44180
"Springfield, OH Metro Area",60846,0.4299,20582,4173,29756,155900,133811,55325,135445,44220,44220
"St. Cloud, MN Metro Area",75670,0.4315,22560,4705,32234,254200,198795,77431,200816,41060,41060
"St. George, UT Metro Area",76411,0.4513,18540,2822,23493,465600,188334,66914,189827,41100,41100
"St. Joseph, MO-KS Metro Area",62900,0.4574,16321,2325,26513,162100,115440,46818,120609,41140,41140
"St. Louis, MO-IL Metro Area",78225,0.4658,283828,61136,422595,232100,2775424,1154841,2809414,41180,41180
"St. Marys, PA Micro Area",64103,0.4247,2756,986,9977,128600,30403,13481,30703,41260,41260
"State College, PA Metro Area",72748,0.4781,23282,3068,24437,308100,152957,59006,158041,44300,44300
"Steamboat Springs, CO Micro Area",93984,0.478,3113,618,5630,482300,37970,15922,38248,44460,44460
"Stockton-Lodi, CA Metro Area",88531,0.4437,97063,27442,121489,494500,778075,241373,787416,44700,44700
"Summerville, GA Micro Area",47785,0.4255,4696,476,4486,98700,23440,9142,24975,44900,44900
"Syracuse, NY Metro Area",73558,0.4585,87515,17572,100811,175300,651077,267658,657128,45060,45060
"Tallahassee, FL Metro Area",63078,0.492,67192,10700,46097,249900,377782,155020,388298,45220,45220
"Tampa-St. Petersburg-Clearwater, FL Metro Area",71254,0.4792,388884,76050,545544,306100,3202428,1303644,3240469,45300,45300
"Taos, NM Micro Area",58908,0.5115,4943,780,5837,354000,34307,14459,34516,45340,45340
"Terre Haute, IN Metro Area",55380,0.4702,27004,4477,33674,132000,162488,67393,168850,45460,45460
"Texarkana, TX-AR Metro Area",55046,0.4815,24733,3239,30523,150800,139995,55902,146868,45500,45500
"The Dalles, OR Micro Area",63602,0.4859,3160,1004,4067,332500,26120,10411,26603,45520,45520
"Toledo, OH Metro Area",63749,0.4795,93542,18798,107307,168500,596668,253183,602977,45780,45780
"Topeka, KS Metro Area",68160,0.4298,26021,4348,43122,172200,228516,95996,232724,45820,45820
"Torrington, CT Micro Area",91035,0.4815,10224,3356,20593,311700,111916,47035,112848,45860,45860
"Traverse City, MI Metro Area",77495,0.4501,14039,2919,23794,286500,153352,64217,154657,45900,45900
"Trenton-Princeton, NJ Metro Area",96333,0.5021,40446,12165,57594,351000,378237,141464,383286,45940,45940
"Truckee-Grass Valley, CA Micro Area",84905,0.4799,10745,2162,14025,602800,101534,41873,102452,46020,46020
"Tucson, AZ Metro Area",67929,0.4662,146560,28264,123329,286900,1026868,430965,1049947,46060,46060
"Tulsa, OK Metro Area",67823,0.47,138370,26495,165684,204400,1015411,399900,1026209,46140,46140
"Tupelo, MS Micro Area",63188,0.4767,16918,2798,19699,158400,130158,50410,132079,46180,46180
"Tuscaloosa, AL Metro Area",59975,0.4728,46649,7208,45999,217100,271172,102813,275217,46220,46220
"Twin Falls, ID Metro Area",66473,0.4366,13163,1871,17322,284200,115819,42110,116909,46300,46300
"Tyler, TX Metro Area",71923,0.4533,28262,4672,31836,220800,235252,81690,238014,46340,46340
"Urban Honolulu, HI Metro Area",104264,0.4412,88808,23328,158981,873000,948045,337061,1003666,46520,46520
"Utica-Rome, NY Metro Area",68830,0.4417,39852,6350,52082,163400,283031,119787,289577,46540,46540
"Valdosta, GA Metro Area",54581,0.4893,30493,3716,24894,182300,142644,55573,149139,46660,46660
"Vallejo, CA Metro Area",99994,0.4235,42767,13027,66474,589600,438884,155800,450824,46700,46700
"Vermillion, SD Micro Area",58794,0.4668,2515,711,1542,221800,14856,5561,15133,46820,46820
"Vernal, UT Micro Area",69861,0.4507,3991,904,6697,270200,36172,11940,36458,46860,46860
"Victoria, TX Metro Area",69618,0.4439,14933,2041,16354,196500,97196,36942,98377,47020,47020
"Vincennes, IN Micro Area",58863,0.4543,4593,459,7352,123500,35432,15110,36108,47180,47180
"Vineland, NJ Metro Area",64499,0.5027,23410,5152,33134,205600,144317,53341,152915,47220,47220
"Vineyard Haven, MA Micro Area",102348,0.5558,1102,789,2726,1104100,20644,7362,20751,47240,47240
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",80533,0.4461,188496,44207,252158,318000,1683392,701116,1782590,47260,47260
"Visalia, CA Metro Area",69489,0.4401,83473,18688,66647,303000,471506,142026,475774,47300,47300
"Wabash, IN Micro Area",68414,0.4087,3136,540,7651,143600,29945,12554,30901,47340,47340
"Waco, TX Metro Area",63880,0.4732,47362,6559,43370,209600,293169,109442,299217,47380,47380
"Walla Walla, WA Metro Area",72212,0.4647,6738,1698,7624,375600,59283,23390,62102,47460,47460
"Warner Robins, GA Metro Area",78702,0.4174,21374,4909,29217,202800,189537,72442,195171,47580,47580
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",123896,0.4476,484187,165544,653491,553000,6185396,2350158,6263796,47900,47900
"Waterloo-Cedar Falls, IA Metro Area",68916,0.4503,21058,3996,29472,186100,166218,68518,168163,47940,47940
"Watertown, SD Micro Area",65080,0.4383,2867,310,6839,218000,28188,12361,28556,47980,47980
"Watertown-Fort Atkinson, WI Micro Area",80604,0.4025,6734,1608,16983,253800,85496,34455,85867,48020,48020
"Watertown-Fort Drum, NY Metro Area",64978,0.4331,14832,3031,19722,181000,103143,46701,116130,48060,48060
"Wausau, WI Metro Area",76185,0.4182,12159,2140,28834,205500,137020,56873,138067,48140,48140
"Weirton-Steubenville, WV-OH Metro Area",57149,0.4441,17366,3236,30605,121400,114283,49455,115566,48260,48260
"Wenatchee-East Wenatchee, WA Metro Area",79007,0.4521,10529,2415,17164,434900,122392,46533,123251,48300,48300
"Wheeling, WV-OH Metro Area",58705,0.4711,19484,3406,36871,149300,133422,57071,138015,48540,48540
"Whitewater-Elkhorn, WI Micro Area",77359,0.4499,9976,1934,18128,275900,104783,42425,105447,48580,48580
"Wichita, KS Metro Area",68930,0.4521,83265,16273,92389,188200,636781,252501,648935,48620,48620
"Williamsport, PA Metro Area",64412,0.4419,13456,2979,26667,195600,110624,46201,113570,48700,48700
"Wilmington, NC Metro Area",73687,0.4638,48102,10948,60271,328000,435407,190964,440578,48900,48900
"Wilmington, OH Micro Area",68125,0.4418,6018,987,10211,192800,41720,16534,42014,48940,48940
"Winchester, VA-WV Metro Area",82413,0.4317,14875,3565,29291,322600,142326,53947,144676,49020,49020
"Winona, MN Micro Area",70198,0.4377,6239,865,7343,222900,49226,20288,49705,49100,49100
"Winston-Salem, NC Metro Area",64282,0.4589,93315,16363,112105,213300,677555,275395,683637,49180,49180
"Worcester, MA Metro Area",93561,0.4559,86428,25023,139139,390700,851300,333273,861664,49340,49340
"Yakima, WA Metro Area",68015,0.4266,39074,8418,36201,281100,254377,86689,256605,49420,49420
"York-Hanover, PA Metro Area",82238,0.4147,38560,10777,107098,235000,454916,180207,459312,49620,49620
"Youngstown-Warren, OH Metro Area",55357,0.4636,73558,11088,108734,134600,420466,184325,428430,49660,49660
"Yuba City, CA Metro Area",74762,0.4507,26995,5741,25875,390800,177872,61303,182050,49700,49700
"Yuma, AZ Metro Area",60417,0.4448,32921,6700,29486,195700,198232,76903,207685,49740,49740
