Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Brunswick-St. Simons, GA Metro Area",64819,0.4982,19197,2129,20365,221400,113147,46237,114345,15260,15260
"Buffalo-Cheektowaga, NY Metro Area",70572,0.4615,157023,29977,185359,209600,1151962,500204,1161385,15380,15380
"Burlington-South Burlington, VT Metro Area",90911,0.4418,22197,4569,30863,370400,224720,93126,226603,15540,15540
"Butte-Silver Bow, MT Micro Area",57504,0.4847,5584,725,6191,223500,34863,15347,35589,15580,15580
"Cadillac, MI Micro Area",62833,0.4354,5919,1359,10869,161400,48538,19178,49024,15620,15620
"Cambridge, MD Micro Area",60495,0.4656,5225,746,8394,252300,32283,13324,32612,15700,15700
"Canton-Massillon, OH Metro Area",65666,0.4404,49827,7715,96190,177400,395912,166842,400495,15940,15940
"Cape Coral-Fort Myers, FL Metro Area",73099,0.4761,91539,14873,156721,326300,787302,319588,792692,15980,15980
"Carlsbad-Artesia, NM Micro Area",79605,0.4434,7519,1252,8683,199400,60479,23245,61114,16100,16100
"Carson City, NV Metro Area",71809,0.4464,6183,1176,9280,426700,55787,23652,58364,16180,16180
"Casper, WY Metro Area",71247,0.4456,7620,1568,12171,260400,78809,33285,79735,16220,16220
"Cañon City, CO Micro Area",61027,0.4645,5800,803,10506,282100,41484,17695,49394,15860,15860
"Cedar City, UT Micro Area",65527,0.429,8099,1007,7182,342900,59845,19658,60201,16260,16260
"Cedar Rapids, IA Metro Area",77084,0.4381,26123,5221,45412,202100,272548,113271,275960,16300,16300
"Centralia, WA Micro Area",69690,0.4233,10756,2219,15394,341500,83217,32314,83925,16500,16500
"Chambersburg, PA Metro Area",74946,0.4178,11995,2782,42491,236300,155456,63028,156626,16540,16540
"Champaign-Urbana, IL Metro Area",64558,0.4939,37128,5347,29187,194400,234131,96356,236196,16580,16580
"Charleston, WV Metro Area",58089,0.4757,33810,5461,47831,128900,205042,87660,207456,16620,16620
"Charleston-North Charleston, SC Metro Area",82272,0.4788,89836,16085,108822,345400,799035,327420,817756,16700,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",80201,0.4761,279994,64865,350698,319400,2691563,1049805,2712818,16740,16740
"Charlottesville, VA Metro Area",90552,0.4833,23411,4214,24429,397600,219575,89396,222937,16820,16820
"Chattanooga, TN-GA Metro Area",68666,0.4756,70447,12634,88091,246000,563211,227464,569333,16860,16860
"Cheyenne, WY Metro Area",77884,0.4364,9755,1674,13159,324900,97050,42503,100661,16940,16940
"Chicago-Naperville-Elgin, IL-IN Metro Area",88850,0.4811,1021163,303952,1292522,301900,9270930,3615628,9359555,16980,16980
"Chico, CA Metro Area",68574,0.4846,37531,7192,25356,408700,207385,82345,209470,17020,17020
"Cincinnati, OH-KY-IN Metro Area",79490,0.4683,256786,50518,378103,240200,2229230,899273,2255257,17140,17140
"Clarksburg, WV Micro Area",58376,0.454,12040,2126,21104,156000,87432,35067,89717,17220,17220
"Clarksville, TN-KY Metro Area",66210,0.4167,42055,8033,50710,229400,305775,121182,328626,17300,17300
"Clearlake, CA Micro Area",58738,0.4867,11156,3220,11590,316800,67517,26364,68139,17340,17340
"Cleveland, MS Micro Area",37315,0.5554,9404,878,3795,123600,29296,11907,30163,17380,17380
"Clinton, IA Micro Area",65177,0.4375,5962,865,9897,153800,45786,19434,46383,17540,17540
