CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Manchester-Nashua, NH",31700,2024,183,165,18,0,0,0,0,97,50,38,1,0,177,5,0,"Manchester-Nashua, NH Metro Area",100436,0.428,27126,8238,65503,385500,420612,167732,424732,31700,31700
"Manitowoc, WI",31820,2024,98,87,8,3,0,0,0,115,51,41,0,0,98,0,0,"Manitowoc, WI Micro Area",68611,0.4195,7826,850,20275,172900,80614,35033,81314,31820,31820
"Marietta, OH",31930,2024,213,185,28,0,0,0,0,90,54,41,0,0,213,0,0,"Marietta, OH Micro Area",61355,0.4635,7429,1304,14609,174100,58758,24887,59318,31930,31930
"Marquette, MI",32100,2024,149,131,18,0,0,0,0,67,52,21,0,0,0,149,0,"Marquette, MI Micro Area",64675,0.4219,8538,1606,10042,202000,64722,27887,66430,32100,32100
"Marshall, MN",32140,2024,182,154,27,1,0,0,0,142,55,39,0,0,100,76,6,"Marshall, MN Micro Area",72761,0.457,3076,443,4005,193100,25221,10003,25498,32140,32140
"Mayaguez, PR",32420,2024,176,176,0,0,0,0,0,39,29,15,0,0,108,68,0,"Mayagüez, PR Metro Area",20400,0.5546,100053,12894,39258,108900,210236,80822,211487,32420,32420
"McAlester, OK",32540,2024,272,150,120,2,0,0,0,102,66,48,0,0,96,176,0,"McAlester, OK Micro Area",54787,0.4688,7553,1057,8996,146300,41642,17649,43629,32540,32540
"McAllen-Edinburg-Mission, TX",32580,2024,182,53,106,18,5,0,0,157,105,60,0,0,16,161,5,"McAllen-Edinburg-Mission, TX Metro Area",52281,0.4759,237121,28197,108623,124000,873406,264128,880921,32580,32580
"Medford, OR",32780,2024,274,215,57,1,1,0,0,152,60,39,0,0,58,216,0,"Medford, OR Metro Area",71443,0.456,27295,5673,34783,400200,221306,90679,222563,32780,32780
"Memphis, TN-MS-AR",32820,2024,305,93,205,5,2,0,0,159,78,56,0,0,81,224,0,"Memphis, TN-MS-AR Metro Area",64743,0.4875,214970,43477,220417,228100,1324875,517674,1341606,32820,32820
"Merced, CA",32900,2024,182,110,67,5,0,0,0,133,74,47,0,0,124,57,1,"Merced, CA Metro Area",65044,0.4631,51655,13441,43278,368400,283066,84605,285597,32900,32900
"Meridian, MS",32940,2024,214,213,1,0,0,0,0,51,45,36,0,0,214,0,0,"Meridian, MS Micro Area",49156,0.4963,20177,2185,13966,121500,83872,34799,87408,32940,32940
"Miami, OK",33060,2024,213,104,108,0,0,1,0,288,69,51,0,0,45,164,4,"Miami, OK Micro Area",48656,0.4384,6047,441,5586,114300,29947,11755,30360,33060,33060
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2024,274,123,147,1,3,0,0,197,64,51,0,3,60,210,1,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",73481,0.5083,794980,160940,1004833,405600,6086948,2311230,6138876,33100,33100
"Michigan City-La Porte, IN",33140,2024,274,190,82,2,0,0,0,115,67,43,0,0,218,56,0,"Michigan City-La Porte, IN Metro Area",70452,0.4296,14691,2301,24339,180700,105379,43681,112141,33140,33140
"Middlesborough, KY",33180,2024,182,120,62,0,0,0,0,88,63,45,0,0,75,107,0,"Middlesborough, KY Micro Area",32403,0.4938,6268,838,5092,83000,23369,9526,23878,33180,33180
"Milwaukee-Waukesha-West Allis, WI",33340,2024,183,131,49,3,0,0,0,129,66,44,1,8,90,80,4,"Milwaukee-Waukesha, WI Metro Area",76404,0.4706,191173,31097,242610,283800,1555984,650084,1566361,33340,33340
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2024,183,118,61,2,2,0,0,166,68,45,1,0,107,74,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",98180,0.4448,296604,80314,439411,354400,3664036,1458896,3693351,33460,33460
"Minot, ND",33500,2024,274,217,48,7,2,0,0,152,63,39,0,0,168,106,0,"Minot, ND Metro Area",79195,0.4293,5924,1335,12659,247900,71835,31477,76773,33500,33500
"Missoula, MT",33540,2024,182,127,55,0,0,0,0,92,64,42,0,0,100,82,0,"Missoula, MT Metro Area",70888,0.4716,13627,3187,15261,417300,123494,53774,124435,33540,33540
"Mobile, AL",33660,2024,212,135,77,0,0,0,0,80,58,46,0,0,59,152,1,"Mobile, AL Metro Area",58119,0.4649,65948,10044,80769,176600,408436,160507,413162,33660,33660
"Modesto, CA",33700,2024,184,109,71,4,0,0,0,143,74,47,0,0,109,74,1,"Modesto, CA Metro Area",79661,0.4389,71943,20229,90813,426600,549358,176457,552250,33700,33700
"Monroe, LA",33740,2024,305,247,58,0,0,0,0,97,57,41,0,0,228,77,0,"Monroe, LA Metro Area",49203,0.5167,54563,7037,41828,163000,219380,86081,224705,33740,33740
"Montgomery, AL",33860,2024,205,138,67,0,0,0,0,75,57,44,0,0,70,134,1,"Montgomery, AL Metro Area",62746,0.472,59821,8843,64179,181400,372404,149998,385159,33860,33860
"Morehead City, NC",33980,2024,243,236,7,0,0,0,0,71,46,37,0,0,243,0,0,"Morehead City, NC Micro Area",70235,0.4628,6781,1369,10199,304200,67089,31198,68652,33980,33980
"Morgantown, WV",34060,2024,139,116,23,0,0,0,0,71,53,42,0,0,109,30,0,"Morgantown, WV Metro Area",62394,0.4944,24822,3756,23417,226800,135907,57158,140724,34060,34060
"Morristown, TN",34100,2024,122,111,11,0,0,0,0,97,49,41,0,0,122,0,0,"Morristown, TN Metro Area",58130,0.4641,17199,3316,25793,198000,119376,47109,120765,34100,34100
"Moscow, ID",34140,2024,182,178,4,0,0,0,0,59,31,19,0,0,0,182,0,"Moscow, ID Micro Area",65179,0.4611,5439,1293,4057,342500,40068,16058,40315,34140,34140
"Moses Lake, WA",34180,2024,213,194,19,0,0,0,0,76,48,22,0,0,0,213,0,"Moses Lake, WA Micro Area",71115,0.4359,14884,2973,14420,275700,100005,34502,100428,34180,34180
"Mount Vernon, IL",34500,2024,274,170,103,1,0,0,0,112,61,46,0,0,101,173,0,"Mount Vernon, IL Micro Area",61102,0.4317,4975,1129,6875,118400,35394,14805,36808,34500,34500
"Mount Vernon, OH",34540,2024,245,208,36,1,0,0,0,101,54,41,0,0,245,0,0,"Mount Vernon, OH Micro Area",73988,0.4103,6530,746,14155,218300,62177,23435,62888,34540,34540
"Mount Vernon-Anacortes, WA",34580,2024,213,209,4,0,0,0,0,57,39,26,0,0,59,154,0,"Mount Vernon-Anacortes, WA Metro Area",85474,0.434,14887,2972,19997,486200,128611,51518,130407,34580,34580
"Muncie, IN",34620,2024,305,205,100,0,0,0,0,97,62,44,0,0,187,118,0,"Muncie, IN Metro Area",56932,0.4419,20789,3465,19888,127600,110480,46146,112109,34620,34620
"Muscatine, IA",34700,2024,305,231,74,0,0,0,0,78,55,38,0,0,0,305,0,"Muscatine, IA Micro Area",69512,0.4131,4858,815,8140,172400,41955,17170,42735,34700,34700
"Muskegon, MI",34740,2024,212,174,34,4,0,0,0,122,61,40,0,0,212,0,0,"Muskegon-Norton Shores, MI Metro Area",63495,0.4385,21347,5691,34604,180900,171139,67112,175378,34740,34740
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,2024,274,215,59,0,0,0,0,87,55,41,0,0,144,130,0,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",64623,0.4461,46454,8826,75577,260500,367312,150342,368937,34820,34820
"Naples-Immokalee-Marco Island, FL",34940,2024,182,125,57,0,0,0,0,87,58,45,0,0,70,112,0,"Naples-Marco Island, FL Metro Area",86173,0.5334,40135,6842,65811,486800,385705,160867,387681,34940,34940
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2024,182,85,95,2,0,0,0,119,61,51,0,3,58,121,0,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",82499,0.4642,208043,39960,299345,376800,2025294,805828,2043713,34980,34980
"New Castle, IN",35220,2024,268,208,60,0,0,0,0,75,56,35,0,0,0,268,0,"New Castle, IN Micro Area",60144,0.424,5957,896,12171,140200,45773,18460,48896,35220,35220
"New Haven-Milford, CT",35300,2024,183,132,43,7,1,0,0,156,59,42,1,7,111,64,0,"New Haven, CT Metro Area",86266,0.4783,63456,18081,99466,328300,562316,227739,566803,35300,35300
"New Orleans-Metairie, LA",35380,2024,306,153,147,5,1,0,0,188,71,51,1,3,141,160,1,"New Orleans-Metairie, LA Metro Area",62271,0.5087,177337,33580,152992,248000,977807,397029,988763,35380,35380
"New York-Newark-Jersey City, NY-NJ-PA",35620,2024,275,120,135,17,3,0,0,156,93,53,1,9,149,116,0,"New York-Newark-Jersey City, NY-NJ Metro Area",97334,0.5137,2416274,681021,2802276,587400,19617922,7362500,19756722,35620,35620
"Niles-Benton Harbor, MI",35660,2024,204,167,36,1,0,0,0,101,61,42,0,0,204,0,0,"Niles, MI Metro Area",63152,0.4762,22818,4847,25521,211400,152246,63651,153411,35660,35660
"Nogales, AZ",35700,2024,270,203,64,2,0,0,1,494,63,38,0,0,0,216,54,"Nogales, AZ Micro Area",53614,0.443,9707,2210,6488,216100,48038,16816,48209,35700,35700
"North Port-Sarasota-Bradenton, FL",35840,2024,274,170,103,1,0,0,0,115,63,46,0,0,104,170,0,"North Port-Bradenton-Sarasota, FL Metro Area",78278,0.4908,78842,16672,156634,367700,854991,374007,865031,35840,35840
"Norwich-New London, CT",35980,2024,182,158,21,3,0,0,0,122,53,38,0,0,108,74,0,"Norwich-New London-Willimantic, CT Metro Area",84185,0.4425,28317,7242,48938,293900,268977,114577,279025,35980,35980
"Ocala, FL",36100,2024,182,75,106,1,0,0,0,101,61,52,0,0,45,137,0,"Ocala, FL Metro Area",58535,0.4484,55184,8159,84123,220800,379768,159796,387697,36100,36100
"Odessa, TX",36220,2024,180,137,43,0,0,0,0,88,58,34,0,0,0,180,0,"Odessa, TX Metro Area",71031,0.4522,24626,4469,23271,190500,161844,62422,163206,36220,36220
"Ogden-Clearfield, UT",36260,2024,278,133,126,19,0,0,0,133,93,51,1,4,232,35,6,"Ogden, UT Metro Area",98361,0.3975,41682,9018,83920,437700,637436,210632,645510,36260,36260
"Oklahoma City, OK",36420,2024,275,101,160,14,0,0,0,136,84,54,1,2,144,127,1,"Oklahoma City, OK Metro Area",70499,0.4648,195835,34094,205939,214700,1420967,562932,1445122,36420,36420
"Olympia-Tumwater, WA",36500,2024,211,203,8,0,0,0,0,85,42,26,0,0,89,122,0,"Olympia-Lacey-Tumwater, WA Metro Area",93985,0.4056,28292,7504,36776,451500,288747,117172,296640,36500,36500
"Omaha-Council Bluffs, NE-IA",36540,2024,305,161,142,2,0,0,0,110,65,49,0,0,157,126,22,"Omaha, NE-IA Metro Area",83023,0.4567,90658,17597,123966,248100,958884,384397,972840,36540,36540
"Orlando-Kissimmee-Sanford, FL",36740,2024,275,192,80,3,0,0,0,149,61,43,1,1,172,101,0,"Orlando-Kissimmee-Sanford, FL Metro Area",75611,0.4619,313534,73671,401941,338500,2698969,985142,2721022,36740,36740
"Othello, WA",36830,2024,213,207,6,0,0,0,0,65,33,15,0,0,0,213,0,"Othello, WA Micro Area",65042,0.4439,4199,354,2501,251300,20492,6301,20690,36830,36830
"Owensboro, KY",36980,2024,107,94,13,0,0,0,0,100,51,43,0,0,107,0,0,"Owensboro, KY Metro Area",65656,0.4671,16154,2484,21947,182100,110649,44765,112322,36980,36980
"Oxnard-Thousand Oaks-Ventura, CA",37100,2024,213,120,89,4,0,0,0,122,68,48,0,0,136,76,1,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",107327,0.4492,74630,23547,100093,768400,830360,278045,838259,37100,37100
"Paducah, KY-IL",37140,2024,182,140,41,1,0,0,0,101,53,43,0,6,87,89,0,"Paducah, KY-IL Metro Area",62286,0.4862,15702,1587,21349,160500,101401,41268,102924,37140,37140
"Pahrump, NV",37220,2024,182,173,9,0,0,0,0,89,40,19,0,0,0,0,182,"Pahrump, NV Micro Area",55975,0.4427,8081,1782,12455,266000,52382,21943,53207,37220,37220
"Palatka, FL",37260,2024,178,164,13,1,0,0,0,112,47,22,0,0,0,0,178,"Palatka, FL Micro Area",47256,0.4757,17409,2027,16372,147300,73118,30650,74235,37260,37260
"Palm Bay-Melbourne-Titusville, FL",37340,2024,182,148,34,0,0,0,0,74,54,43,0,0,152,30,0,"Palm Bay-Melbourne-Titusville, FL Metro Area",75817,0.4555,60603,14187,101406,304400,613812,251889,620533,37340,37340
"Panama City, FL",37460,2024,180,93,87,0,0,0,0,72,60,49,0,0,41,139,0,"Panama City-Panama City Beach, FL Metro Area",67834,0.4405,25100,3598,34975,263500,199342,85400,206627,37460,37460
"Parkersburg-Vienna, WV",37620,2024,140,111,29,0,0,0,0,100,58,42,0,0,106,34,0,"Parkersburg-Vienna, WV Metro Area",56029,0.4573,13138,2186,19857,151600,88045,37777,88960,37620,37620
"Payson, AZ",37740,2024,274,123,122,27,2,0,0,159,101,54,0,0,259,0,15,"Payson, AZ Micro Area",59089,0.4364,9297,1521,9975,247000,52491,23253,53610,37740,37740
"Pensacola-Ferry Pass-Brent, FL",37860,2024,182,109,73,0,0,0,0,84,61,47,0,0,77,105,0,"Pensacola-Ferry Pass-Brent, FL Metro Area",73588,0.4451,60047,12888,79702,260500,490033,199542,516994,37860,37860
"Peoria, IL",37900,2024,252,174,78,0,0,0,0,100,61,44,0,0,146,106,0,"Peoria, IL Metro Area",70872,0.4571,42918,9145,61625,160500,359991,152843,365773,37900,37900
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2024,305,138,159,8,0,0,0,150,77,52,0,2,149,154,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",89273,0.4822,712006,197394,1042489,326700,6168768,2445882,6241882,37980,37980
"Phoenix-Mesa-Scottsdale, AZ",38060,2024,275,38,182,50,3,2,0,289,113,74,1,1,174,58,41,"Phoenix-Mesa-Chandler, AZ Metro Area",84703,0.4549,544541,118176,637914,401400,4881866,1854535,4941206,38060,38060
"Pierre, SD",38180,2024,182,178,4,0,0,0,0,69,20,1,0,0,0,182,0,"Pierre, SD Micro Area",78965,0.4031,1605,59,3250,217500,19840,8588,20744,38180,38180
"Pittsburgh, PA",38300,2024,183,88,94,1,0,0,0,103,77,52,1,0,85,97,0,"Pittsburgh, PA Metro Area",73942,0.4708,259174,63618,498616,204500,2418974,1059751,2443921,38300,38300
"Pittsfield, MA",38340,2024,244,194,50,0,0,0,0,97,58,40,0,0,174,70,0,"Pittsfield, MA Metro Area",72565,0.4949,13481,3780,24097,283800,126266,56517,128047,38340,38340
"Platteville, WI",38420,2024,182,145,37,0,0,0,0,80,54,31,0,0,0,182,0,"Platteville, WI Micro Area",64349,0.429,6469,736,10229,186300,50640,19913,51678,38420,38420
"Pocatello, ID",38540,2024,182,169,13,0,0,0,0,67,47,35,0,0,84,54,44,"Pocatello, ID Metro Area",64080,0.4405,10398,1965,12012,267200,87350,33340,88457,38540,38540
"Ponca City, OK",38620,2024,264,156,103,4,1,0,0,193,62,44,0,0,0,264,0,"Ponca City, OK Micro Area",56673,0.4537,6616,1202,8259,116800,42794,16716,43731,38620,38620
"Ponce, PR",38660,2024,175,165,10,0,0,0,0,82,37,3,120,0,0,49,6,"Ponce, PR Metro Area",20646,0.54,129501,13632,55454,103100,269631,102697,273739,38660,38660
"Port Angeles, WA",38820,2024,213,198,15,0,0,0,0,59,45,36,0,0,141,72,0,"Port Angeles, WA Micro Area",67999,0.4517,8225,1876,12078,385600,76283,34377,77593,38820,38820
"Port St. Lucie, FL",38940,2024,182,157,25,0,0,0,0,71,53,42,0,0,141,41,0,"Port St. Lucie, FL Metro Area",72506,0.4715,57695,12599,89577,325300,500793,199460,506701,38940,38940
"Portland-South Portland, ME",38860,2024,305,233,71,1,0,0,0,129,59,40,0,0,203,98,4,"Portland-South Portland, ME Metro Area",88602,0.4489,41470,10564,86344,379500,551675,236428,557764,38860,38860
"Portland-Vancouver-Hillsboro, OR-WA",38900,2024,274,235,38,1,0,0,0,105,54,36,0,2,151,121,0,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",94573,0.4496,236581,68018,288798,526500,2493287,1000418,2510529,38900,38900
"Portsmouth, OH",39020,2024,274,182,92,0,0,0,0,80,61,41,0,0,0,268,6,"Portsmouth, OH Micro Area",49571,0.4632,15618,1935,19111,132300,70519,28637,73118,39020,39020
"Price, UT",39220,2024,274,189,84,1,0,0,0,112,64,46,0,0,267,7,0,"Price, UT Micro Area",53673,0.4393,3377,493,3253,200700,20250,8023,20446,39220,39220
"Providence-Warwick, RI-MA",39300,2024,250,188,59,3,0,0,0,147,61,42,1,2,173,69,5,"Providence-Warwick, RI-MA Metro Area",85646,0.4598,180736,50909,277945,385900,1651745,669104,1673807,39300,39300
"Provo-Orem, UT",39340,2024,275,151,115,8,1,0,0,151,84,48,1,1,221,52,0,"Provo-Orem-Lehi, UT Metro Area",96745,0.4138,59272,12520,51484,487200,692649,199358,695895,39340,39340
"Pueblo, CO",39380,2024,274,173,93,8,0,0,0,143,77,47,0,0,220,48,6,"Pueblo, CO Metro Area",62250,0.4558,25321,4068,28644,271800,164662,67816,168726,39380,39380
"Pullman, WA",39420,2024,213,196,17,0,0,0,0,80,43,16,0,0,0,213,0,"Pullman, WA Micro Area",52893,0.5164,9743,1634,3088,323300,46653,17952,47042,39420,39420
"Quincy, IL-MO",39500,2024,204,189,15,0,0,0,0,97,49,43,0,0,204,0,0,"Quincy, IL-MO Micro Area",63470,0.4427,9188,1486,16623,151800,73817,30986,75111,39500,39500
"Racine, WI",39540,2024,98,78,19,1,0,0,0,140,64,44,0,0,98,0,0,"Racine-Mount Pleasant, WI Metro Area",75331,0.4294,20736,4261,34417,239400,192634,79109,196888,39540,39540
"Raleigh, NC",39580,2024,274,190,83,1,0,0,0,112,63,44,0,0,184,90,0,"Raleigh-Cary, NC Metro Area",96066,0.4491,121749,33046,143659,381000,1438753,555371,1449594,39580,39580
"Rapid City, SD",39660,2024,182,116,65,1,0,0,0,111,67,47,0,0,139,13,30,"Rapid City, SD Metro Area",71985,0.453,15878,2528,22606,274200,145946,61532,151064,39660,39660
"Reading, PA",39740,2024,182,126,54,2,0,0,0,105,62,43,0,0,119,63,0,"Reading, PA Metro Area",77684,0.4439,48747,11745,95426,239700,425722,161701,429989,39740,39740
"Red Bluff, CA",39780,2024,182,151,30,1,0,0,0,105,64,38,0,0,156,26,0,"Red Bluff, CA Micro Area",61834,0.5054,9988,1839,11574,315600,65061,24526,65520,39780,39780
"Red Wing, MN",39860,2024,121,108,13,0,0,0,0,67,51,40,0,0,121,0,0,"Red Wing, MN Micro Area",82749,0.4287,4344,898,9710,269400,46998,19631,47844,39860,39860
"Redding, CA",39820,2024,211,178,32,1,0,0,0,108,54,43,0,0,184,18,9,"Redding, CA Metro Area",71931,0.4641,23179,5115,28708,347200,179911,71473,181554,39820,39820
"Reno, NV",39900,2024,244,128,113,3,0,0,0,108,77,50,1,2,211,30,0,"Reno, NV Metro Area",84684,0.462,58715,14962,79454,474000,552923,221022,556539,39900,39900
"Richmond, VA",40060,2024,275,191,83,1,0,0,0,112,57,44,1,9,138,127,0,"Richmond, VA Metro Area",84405,0.4611,128665,32887,187734,325800,1302380,523778,1327321,40060,40060
"Riverside-San Bernardino-Ontario, CA",40140,2024,245,27,109,43,45,21,0,227,192,97,1,1,155,63,25,"Riverside-San Bernardino-Ontario, CA Metro Area",86031,0.4412,558181,150760,725334,493600,4576170,1430238,4637725,40140,40140
"Riverton, WY",40180,2024,213,133,80,0,0,0,0,100,67,48,0,0,145,68,0,"Riverton, WY Micro Area",64646,0.4204,4766,1502,6557,252700,38890,14810,39472,40180,40180
"Roanoke Rapids, NC",40260,2024,213,177,36,0,0,0,0,82,53,27,0,36,0,177,0,"Roanoke Rapids, NC Micro Area",45823,0.4923,15137,2193,14489,102400,63690,27866,65431,40260,40260
"Roanoke, VA",40220,2024,275,217,58,0,0,0,0,68,54,41,1,4,142,128,0,"Roanoke, VA Metro Area",67447,0.4684,37288,5683,60356,236300,309626,130141,314661,40220,40220
"Rochester, MN",40340,2024,182,149,32,0,1,0,0,155,56,41,0,0,104,78,0,"Rochester, MN Metro Area",89675,0.4501,17496,4168,31774,284600,224591,92402,227252,40340,40340
"Rochester, NY",40380,2024,275,192,83,0,0,0,0,90,58,41,1,1,126,147,0,"Rochester, NY Metro Area",74438,0.4574,126986,26383,153972,190100,1047910,442949,1058875,40380,40380
"Rock Springs, WY",40540,2024,213,154,57,2,0,0,0,137,64,45,0,1,156,33,23,"Rock Springs, WY Micro Area",76464,0.4411,5537,1254,6460,242900,41465,16863,41786,40540,40540
"Rockford, IL",40420,2024,274,190,81,3,0,0,0,119,61,44,0,0,146,128,0,"Rockford, IL Metro Area",66571,0.448,50255,12214,57168,162600,333234,134604,336605,40420,40420
"Rocky Mount, NC",40580,2024,264,235,29,0,0,0,0,80,51,37,0,0,177,87,0,"Rocky Mount, NC Metro Area",57437,0.4542,23632,4609,29033,153000,142488,57656,144228,40580,40580
"Rome, GA",40660,2024,271,187,84,0,0,0,0,89,60,38,0,0,0,271,0,"Rome, GA Metro Area",62540,0.4683,15943,1978,16164,194100,96966,36688,98985,40660,40660
"Roswell, NM",40740,2024,20,16,4,0,0,0,0,62,58,23,0,0,0,20,0,"Roswell, NM Micro Area",52029,0.4839,13763,1576,8548,141900,63156,23605,64446,40740,40740
"Ruidoso, NM",40760,2024,20,20,0,0,0,0,0,26,18,7,0,0,0,20,0,"Ruidoso, NM Micro Area",51643,0.4912,3205,529,3811,212200,20074,9376,20227,40760,40760
"Rutland, VT",40860,2024,183,154,29,0,0,0,0,77,55,38,1,0,106,76,0,"Rutland, VT Micro Area",64778,0.4642,7068,1235,13278,218400,59901,25448,60484,40860,40860
"Sacramento--Roseville--Arden-Arcade, CA",40900,2024,274,134,123,17,0,0,0,140,90,51,0,0,187,87,0,"Sacramento-Roseville-Folsom, CA Metro Area",93986,0.4551,274810,70987,294263,559000,2387158,876004,2406563,40900,40900
"Salem, OH",41400,2024,48,48,0,0,0,0,0,34,19,12,0,0,0,0,48,"Salem, OH Micro Area",58474,0.4486,13547,2323,29731,139100,98087,41375,101203,41400,41400
"Salem, OR",41420,2024,274,245,29,0,0,0,0,79,51,28,0,0,60,214,0,"Salem, OR Metro Area",76010,0.4371,54789,10921,55359,389800,427948,157987,435085,41420,41420
"Salinas, CA",41500,2024,183,150,33,0,0,0,0,68,54,39,1,0,115,65,2,"Salinas, CA Metro Area",94486,0.4627,52732,10068,47900,723100,420702,132046,435834,41500,41500
"Salisbury, MD-DE",41540,2024,182,149,33,0,0,0,0,87,54,42,0,0,132,50,0,"Salisbury, MD Metro Area",69592,0.4542,17958,4082,25287,228300,124227,48330,128802,41540,41540
"Salt Lake City, UT",41620,2024,306,149,125,28,3,1,0,230,101,51,1,6,210,86,3,"Salt Lake City-Murray, UT Metro Area",95045,0.4277,101251,25612,157656,478200,1253549,439639,1261337,41620,41620
"San Antonio-New Braunfels, TX",41700,2024,183,63,104,14,2,0,0,199,91,57,1,0,45,134,3,"San Antonio-New Braunfels, TX Metro Area",74297,0.4596,344984,67529,351142,258700,2563451,949097,2612802,41700,41700
"San Diego-Carlsbad, CA",41740,2024,254,124,111,18,1,0,0,159,93,51,0,0,203,51,0,"San Diego-Chula Vista-Carlsbad, CA Metro Area",102285,0.4594,330602,104758,352202,791600,3171172,1159822,3282782,41740,41740
"San Francisco-Oakland-Hayward, CA",41860,2024,61,30,31,0,0,0,0,67,59,51,1,0,5,55,0,"San Francisco-Oakland-Fremont, CA Metro Area",133780,0.4936,399787,138635,447095,1113800,4627006,1735054,4653593,41860,41860
"San Jose-Sunnyvale-Santa Clara, CA",41940,2024,244,164,79,1,0,0,0,105,61,44,0,1,167,76,0,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",157444,0.4742,133588,48706,169027,1342700,1959119,674655,1969353,41940,41940
"San Juan-Carolina-Caguas, PR",41980,2024,274,147,85,31,11,0,0,162,121,43,92,0,9,162,11,"San Juan-Bayamón-Caguas, PR Metro Area",27966,0.5465,776792,97580,369576,138700,2047762,796610,2063795,41980,41980
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2024,182,128,53,1,0,0,0,101,64,44,0,0,146,36,0,"San Luis Obispo-Paso Robles, CA Metro Area",93398,0.474,34424,7005,29735,777200,276628,108897,281486,42020,42020
"Sandpoint, ID",41760,2024,181,173,8,0,0,0,0,73,43,22,0,0,0,161,20,"Sandpoint, ID Micro Area",65168,0.4701,5231,826,8739,433400,49062,19599,49456,41760,41760
"Santa Cruz-Watsonville, CA",42100,2024,182,151,31,0,0,0,0,66,53,39,0,0,74,108,0,"Santa Cruz-Watsonville, CA Metro Area",109266,0.4826,28613,7922,23364,1015200,264998,96873,266021,42100,42100
"Santa Fe, NM",42140,2024,180,126,54,0,0,0,0,93,74,45,0,0,177,3,0,"Santa Fe, NM Metro Area",74689,0.4858,19103,4114,19901,416900,153738,69348,155175,42140,42140
"Santa Maria-Santa Barbara, CA",42200,2024,183,126,56,1,0,0,0,108,57,44,1,0,100,79,3,"Santa Maria-Santa Barbara, CA Metro Area",95977,0.4915,58387,13563,41099,735700,436460,148960,443975,42200,42200
"Santa Rosa, CA",42220,2024,182,181,1,0,0,0,0,53,34,14,2,0,44,14,122,"Santa Rosa-Petaluma, CA Metro Area",102840,0.4574,41044,13476,57314,779000,482063,190498,485642,42220,42220
"Savannah, GA",42340,2024,270,182,87,1,0,0,0,130,58,43,0,0,64,206,0,"Savannah, GA Metro Area",74632,0.4597,49403,11806,58677,271100,400864,158617,412089,42340,42340
"Sayre, PA",42380,2024,179,139,40,0,0,0,0,74,55,39,0,0,110,69,0,"Sayre, PA Micro Area",62482,0.4479,7968,1487,17898,182300,59466,24487,59971,42380,42380
"Scottsbluff, NE",42420,2024,246,226,20,0,0,0,0,88,46,11,0,0,0,246,0,"Scottsbluff, NE Micro Area",61156,0.4428,4943,619,5784,161400,35948,15351,36594,42420,42420
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2024,232,203,29,0,0,0,0,97,51,35,50,9,126,47,0,"Scranton--Wilkes-Barre, PA Metro Area",63656,0.4584,80657,14940,132134,176500,557481,232592,567887,42540,42540
"Seattle-Tacoma-Bellevue, WA",42660,2024,214,128,78,3,2,1,2,354,65,46,1,1,107,105,0,"Seattle-Tacoma-Bellevue, WA Metro Area",112594,0.4644,332072,102267,446120,673500,3969281,1586350,4021467,42660,42660
"Sebastian-Vero Beach, FL",42680,2024,235,234,1,0,0,0,0,51,44,35,0,0,235,0,0,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",71049,0.5015,18567,3614,30019,314700,161909,68696,163856,42680,42680
"Sebring, FL",42700,2024,181,151,30,0,0,0,0,77,58,41,0,0,181,0,0,"Sebring, FL Metro Area",55581,0.4601,15723,2224,23449,177900,102449,45943,103808,42700,42700
"Sevierville, TN",42940,2024,244,179,65,0,0,0,0,93,64,45,0,0,244,0,0,"Sevierville, TN Micro Area",63829,0.4495,13285,1687,21071,259500,97926,39221,98802,42940,42940
"Sheboygan, WI",43100,2024,98,85,10,3,0,0,0,133,58,42,0,0,98,0,0,"Sheboygan, WI Metro Area",71898,0.4111,9265,1490,24115,218400,115463,49426,117783,43100,43100
