CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Cedar City, UT",16260,2024,273,216,57,0,0,0,0,100,58,44,0,4,247,22,0,"Cedar City, UT Micro Area",65527,0.429,8099,1007,7182,342900,59845,19658,60201,16260,16260
"Cedar Rapids, IA",16300,2024,305,196,109,0,0,0,0,79,61,45,0,0,129,176,0,"Cedar Rapids, IA Metro Area",77084,0.4381,26123,5221,45412,202100,272548,113271,275960,16300,16300
"Centralia, WA",16500,2024,205,202,3,0,0,0,0,60,35,20,0,0,0,205,0,"Centralia, WA Micro Area",69690,0.4233,10756,2219,15394,341500,83217,32314,83925,16500,16500
"Chambersburg-Waynesboro, PA",16540,2024,175,171,4,0,0,0,0,61,44,34,0,0,175,0,0,"Chambersburg, PA Metro Area",74946,0.4178,11995,2782,42491,236300,155456,63028,156626,16540,16540
"Champaign-Urbana, IL",16580,2024,274,181,93,0,0,0,0,100,60,45,0,0,156,118,0,"Champaign-Urbana, IL Metro Area",64558,0.4939,37128,5347,29187,194400,234131,96356,236196,16580,16580
"Charleston, WV",16620,2024,183,153,30,0,0,0,0,67,55,37,4,0,94,85,0,"Charleston, WV Metro Area",58089,0.4757,33810,5461,47831,128900,205042,87660,207456,16620,16620
"Charleston-North Charleston, SC",16700,2024,274,190,84,0,0,0,0,90,58,44,0,0,130,144,0,"Charleston-North Charleston, SC Metro Area",82272,0.4788,89836,16085,108822,345400,799035,327420,817756,16700,16700
"Charlotte-Concord-Gastonia, NC-SC",16740,2024,275,117,153,4,1,0,0,156,77,53,1,0,125,149,0,"Charlotte-Concord-Gastonia, NC-SC Metro Area",80201,0.4761,279994,64865,350698,319400,2691563,1049805,2712818,16740,16740
"Charlottesville, VA",16820,2024,272,207,65,0,0,0,0,85,55,43,0,0,126,146,0,"Charlottesville, VA Metro Area",90552,0.4833,23411,4214,24429,397600,219575,89396,222937,16820,16820
"Chattanooga, TN-GA",16860,2024,274,123,148,3,0,0,0,126,70,52,0,0,85,189,0,"Chattanooga, TN-GA Metro Area",68666,0.4756,70447,12634,88091,246000,563211,227464,569333,16860,16860
"Cheyenne, WY",16940,2024,183,145,38,0,0,0,0,80,58,45,1,0,161,20,1,"Cheyenne, WY Metro Area",77884,0.4364,9755,1674,13159,324900,97050,42503,100661,16940,16940
"Chicago-Naperville-Elgin, IL-IN-WI",16980,2024,275,71,190,12,2,0,0,166,90,58,1,13,106,140,15,"Chicago-Naperville-Elgin, IL-IN Metro Area",88850,0.4811,1021163,303952,1292522,301900,9270930,3615628,9359555,16980,16980
"Chico, CA",17020,2024,193,145,48,0,0,0,0,93,61,42,1,0,145,46,1,"Chico, CA Metro Area",68574,0.4846,37531,7192,25356,408700,207385,82345,209470,17020,17020
"Cincinnati, OH-KY-IN",17140,2024,275,93,168,14,0,0,0,147,80,54,1,4,106,163,1,"Cincinnati, OH-KY-IN Metro Area",79490,0.4683,256786,50518,378103,240200,2229230,899273,2255257,17140,17140
"Clarksburg, WV",17220,2024,56,45,11,0,0,0,0,59,56,35,0,0,0,56,0,"Clarksburg, WV Micro Area",58376,0.454,12040,2126,21104,156000,87432,35067,89717,17220,17220
"Clarksville, TN-KY",17300,2024,182,142,40,0,0,0,0,80,55,42,0,0,74,108,0,"Clarksville, TN-KY Metro Area",66210,0.4167,42055,8033,50710,229400,305775,121182,328626,17300,17300
"Clearlake, CA",17340,2024,31,31,0,0,0,0,0,36,26,15,0,0,0,31,0,"Clearlake, CA Micro Area",58738,0.4867,11156,3220,11590,316800,67517,26364,68139,17340,17340
"Cleveland, MS",17380,2024,274,181,93,0,0,0,0,98,58,45,0,0,89,185,0,"Cleveland, MS Micro Area",37315,0.5554,9404,878,3795,123600,29296,11907,30163,17380,17380
"Clinton, IA",17540,2024,304,192,112,0,0,0,0,90,60,46,0,0,141,163,0,"Clinton, IA Micro Area",65177,0.4375,5962,865,9897,153800,45786,19434,46383,17540,17540
"Coeur d'Alene, ID",17660,2024,173,173,0,0,0,0,0,48,31,17,0,0,0,173,0,"Coeur d'Alene, ID Metro Area",77034,0.427,16237,2804,26329,467400,176249,69104,177736,17660,17660
"College Station-Bryan, TX",17780,2024,172,102,69,1,0,0,0,102,63,40,0,0,0,172,0,"College Station-Bryan, TX Metro Area",59691,0.5113,57594,6531,29218,261900,268939,102644,273280,17780,17780
"Colorado Springs, CO",17820,2024,274,141,119,12,2,0,0,166,84,50,0,0,224,50,0,"Colorado Springs, CO Metro Area",87180,0.4284,62848,20415,80330,431600,721774,294427,760782,17820,17820
"Columbia, MO",17860,2024,125,116,9,0,0,0,0,74,49,41,0,0,125,0,0,"Columbia, MO Metro Area",69463,0.4689,33071,4304,24736,242500,210097,84722,212850,17860,17860
"Columbia, SC",17900,2024,274,151,122,1,0,0,0,141,63,47,0,1,85,188,0,"Columbia, SC Metro Area",66146,0.4674,118721,23074,119576,213400,814868,334378,839868,17900,17900
"Columbus, GA-AL",17980,2024,274,149,118,7,0,0,0,127,66,49,0,0,57,217,0,"Columbus, GA-AL Metro Area",57762,0.4859,57312,8747,50113,184900,307294,126156,326136,17980,17980
"Columbus, IN",18020,2024,305,218,86,1,0,0,0,101,59,44,0,0,207,98,0,"Columbus, IN Metro Area",80365,0.4439,9813,1578,14188,221100,81935,32984,82881,18020,18020
"Columbus, OH",18140,2024,306,119,182,5,0,0,0,118,76,54,1,1,103,180,21,"Columbus, OH Metro Area",79847,0.4599,256928,47218,343066,274300,2126340,855292,2151847,18140,18140
"Concord, NH",18180,2024,122,113,9,0,0,0,0,74,48,39,0,0,122,0,0,"Concord, NH Micro Area",93944,0.4348,10586,2592,26270,330600,151745,60445,155018,18180,18180
"Cookeville, TN",18260,2024,177,148,29,0,0,0,0,63,54,33,0,0,0,177,0,"Cookeville, TN Micro Area",53328,0.4702,23670,2784,30234,212000,142212,57745,143819,18260,18260
"Corning, NY",18500,2024,275,236,39,0,0,0,0,68,53,38,1,0,216,58,0,"Corning, NY Micro Area",64740,0.4504,12537,2595,18845,128600,92123,38916,93034,18500,18500
"Corpus Christi, TX",18580,2024,182,64,105,12,1,0,0,153,88,56,0,0,38,144,0,"Corpus Christi, TX Metro Area",65801,0.4656,75923,11369,73659,195400,439854,167004,446797,18580,18580
"Corsicana, TX",18620,2024,182,101,78,3,0,0,0,112,71,48,0,0,89,93,0,"Corsicana, TX Micro Area",59310,0.4516,8814,942,7957,159900,52959,18484,53735,18620,18620
"Crescent City, CA",18860,2024,129,108,21,0,0,0,0,66,53,34,0,0,0,129,0,"Crescent City, CA Micro Area",66780,0.4291,2900,712,4115,319600,25053,9621,27293,18860,18860
"Crestview-Fort Walton Beach-Destin, FL",18880,2024,182,167,15,0,0,0,0,74,50,38,0,0,179,0,3,"Crestview-Fort Walton Beach-Destin, FL Metro Area",79150,0.4592,28276,5068,42255,333800,276685,116782,294127,18880,18880
"Dallas-Fort Worth-Arlington, TX",19100,2024,183,50,119,12,2,0,0,174,94,57,1,1,58,122,1,"Dallas-Fort Worth-Arlington, TX Metro Area",87155,0.4638,813280,189453,938673,330300,7754203,2825878,7807555,19100,19100
"Dalton, GA",19140,2024,198,161,37,0,0,0,0,77,58,41,0,0,179,19,0,"Dalton, GA Metro Area",65715,0.447,19193,3735,23399,190800,142245,51359,143400,19140,19140
"Daphne-Fairhope-Foley, AL",19300,2024,210,181,29,0,0,0,0,84,53,39,0,0,98,112,0,"Daphne-Fairhope-Foley, AL Metro Area",75019,0.4589,24819,3615,38757,287000,236704,94642,239945,19300,19300
"Davenport-Moline-Rock Island, IA-IL",19340,2024,306,182,124,0,0,0,0,90,61,47,1,0,142,114,49,"Davenport-Moline-Rock Island, IA-IL Metro Area",71925,0.4457,46175,8607,64076,170000,376766,160541,381864,19340,19340
"Decatur, AL",19460,2024,213,144,69,0,0,0,0,79,59,45,0,0,72,141,0,"Decatur, AL Metro Area",63987,0.4463,20947,2592,29756,185000,154625,61897,156924,19460,19460
"Decatur, IL",19500,2024,274,185,88,1,0,0,0,101,60,43,0,0,122,152,0,"Decatur, IL Metro Area",62449,0.4652,14562,3361,22613,121800,100745,43334,102591,19500,19500
"Deltona-Daytona Beach-Ormond Beach, FL",19660,2024,182,143,39,0,0,0,0,76,54,43,0,0,111,71,0,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",67599,0.4519,79002,12322,131736,287200,681331,287692,689939,19660,19660
"Deming, NM",19700,2024,182,170,10,1,1,0,0,153,39,15,0,0,0,0,182,"Deming, NM Micro Area",37917,0.4417,6517,497,4757,112500,25039,9082,25420,19700,19700
"Denver-Aurora-Lakewood, CO",19740,2024,285,67,179,31,8,0,0,174,112,63,0,16,180,68,21,"Denver-Aurora-Centennial, CO Metro Area",102339,0.4492,240699,74160,311758,570300,2952267,1201206,2977085,19740,19740
"Des Moines-West Des Moines, IA",19780,2024,305,193,112,0,0,0,0,93,59,46,0,2,143,158,2,"Des Moines-West Des Moines, IA Metro Area",84209,0.4356,63021,16059,102070,252400,711565,289451,720331,19780,19780
"Detroit-Warren-Dearborn, MI",19820,2024,275,109,157,8,1,0,0,152,80,53,1,0,103,171,0,"Detroit-Warren-Dearborn, MI Metro Area",75123,0.4719,570902,142659,683749,237100,4339037,1755372,4367620,19820,19820
"Dickinson, ND",19860,2024,274,217,47,9,1,0,0,172,64,40,0,0,209,65,0,"Dickinson, ND Micro Area",82133,0.4414,3948,586,6455,260400,37722,15102,38107,19860,19860
"Dodge City, KS",19980,2024,182,174,8,0,0,0,0,80,40,20,0,0,0,61,121,"Dodge City, KS Micro Area",70495,0.3976,4769,816,4757,132700,33735,11768,34133,19980,19980
"Douglas, GA",20060,2024,269,178,90,1,0,0,0,137,59,44,0,0,0,269,0,"Douglas, GA Micro Area",48038,0.4575,9861,969,10340,114400,48149,18507,51422,20060,20060
"Dover, DE",20100,2024,153,113,40,0,0,0,0,93,58,43,0,0,95,58,0,"Dover, DE Metro Area",72872,0.4047,20323,4868,35369,290600,181512,70053,185043,20100,20100
"Duluth, MN-WI",20260,2024,244,223,20,1,0,0,0,114,49,38,0,0,208,36,0,"Duluth, MN-WI Metro Area",71067,0.4421,34173,6071,44703,208900,275243,119183,280710,20260,20260
"Durango, CO",20420,2024,305,181,123,1,0,0,0,101,74,48,0,2,293,10,0,"Durango, CO Micro Area",85296,0.4327,6755,939,7229,549100,55708,23200,56088,20420,20420
"Durham-Chapel Hill, NC",20500,2024,274,151,123,0,0,0,0,97,63,47,0,0,138,136,0,"Durham-Chapel Hill, NC Metro Area",81017,0.4853,70198,12176,58181,359400,587781,243422,594291,20500,20500
"Dyersburg, TN",20540,2024,174,143,31,0,0,0,0,66,53,32,0,0,0,174,0,"Dyersburg, TN Micro Area",54973,0.5648,6454,636,7428,159500,36173,14884,36681,20540,20540
"Eagle Pass, TX",20580,2024,172,99,73,0,0,0,0,100,79,41,0,0,0,172,0,"Eagle Pass, TX Metro Area",51270,0.4549,12981,1847,7127,151500,57401,18320,57770,20580,20580
"East Stroudsburg, PA",20700,2024,177,155,21,1,0,0,0,119,54,37,0,0,177,0,0,"East Stroudsburg, PA Micro Area",82374,0.4223,18566,5359,36488,241200,166773,60562,167784,20700,20700
"Eau Claire, WI",20740,2024,182,151,30,1,0,0,0,142,55,40,0,0,89,93,0,"Eau Claire, WI Metro Area",72513,0.4321,17713,2882,30323,240700,169809,69828,172886,20740,20740
"Effingham, IL",20820,2024,210,192,17,1,0,0,0,101,49,41,0,0,210,0,0,"Effingham, IL Micro Area",74219,0.4283,4635,519,9042,167400,44388,18210,44883,20820,20820
